,question,chunks
0,Are there any significant differences in the penalties or fines imposed for non-compliance with cybersecurity regulations among states?,"Page 2 of 3 
§ 1349.34 Examination of records; investigations; remedies for violations; federally chartered financial institutions or 
operating subsidiaries.  
   superintendent, the superintendent may, in accordance with Chapter 119. of the Revised Code, 
suspend, revoke, or deny the renewal of such license, registration, charter, or other authority.  
(F)  If a person fails to comply with section 1349. 26 or 1349.27 of the Revised Code, the 
superintendent may, in accordance with Chapter 119. of the Revised Code, impose a fine of not 
more than two thousand five hundred dollars per compliance failure. If the person fails to comply 
two or more times, the su perintendent may, in accordance with Chapter 119. of the Revised Code, 
impose a fine of not more than five thousand dollars per compliance failure. If the person injured 
by the failure to comply is sixty -five years of age or older, the superintendent may d ouble the 
amount of the fine.  
An order to pay a fine pursuant to this division shall be enforceable in any court of common pleas 
in this state. All fines collected under this division shall be paid to the superintendent and shall be 
deposited by the superi ntendent into the state treasury to the credit of the consumer finance fund 
created under section 1321.21 of the Revised Code.  
In determining the amount of a fine to be imposed under this division, the superintendent shall 
consider all of the following:  
(1)  The seriousness of the conduct;  
(2)  The person’s good faith efforts to prevent the conduct;  
(3)  The person’s history regarding violations and compliance with the superintendent’s orders;  
(4)  The person’s financial resources;  
(5)  Any other matter the  superintendent considers appropriate in enforcing sections 1349.26 
and 1349.27 of the Revised Code.  
The superintendent shall not impose a fine under this division if the superintendent has 
imposed or will impose a fine under another provision of the Revis ed Code for the same 
conduct.  
(G)   
(1)  The superintendent may take any of the actions set forth in this section with respect to any 
person other than a federally chartered financial institution or its operating subsidiaries. 
Whenever it appears to the su perintendent that a federally chartered financial institution or its 
operating subsidiary has engaged in, is engaging in, or is about to engage in, any activity that 
may constitute a failure to comply with section 1349.26 or 1349.27 of the Revised Code, th e 
superintendent may present any evidence of such activity to the institution’s appropriate 
federal regulatory authority, along with any recommendations regarding the imposition of 
specific sanctions.  
(2)  Any action taken by the superintendent under this section shall be commenced within three 
years after the alleged compliance failure.  
(H)  The remedies available to the superintendent under this section are cumulative and 
concurrent, and the exercise of one remedy by the superintendent does not preclude o r require the 
exercise of any other remedy."
1,,"Page 4 of 5 
ORC Ann. 3965.02  
   (3)  Internal or external threats to information;  
(4)  The licensee’s own changing business arrangements, such as mergers and acquisitions, 
alliances and joint ventures, outsourcing arrangements, and changes to information systems.  
(H)   
(1)  As part of its information security program, each licensee shall establish a written incident 
response plan designed to promptly respond to, and recover from, any cybersecurity event that 
compromises the confidentiality, integrity, or availability of nonpublic information in its 
possession, the licensee’s information systems, or the continuing functionality of any aspect of 
the licensee’s business or opera tions.  
(2)  The incident response plan described in division (H) (1) of this section shall address all of 
the following areas:  
(a)  The internal process for responding to a cybersecurity event;  
(b)  The goals of the incident response plan;  
(c)  The definit ion of clear roles, responsibilities, and levels of decision -making authority;  
(d)  External and internal communications and information sharing;  
(e)  Identification of requirements for the remediation of any identified weaknesses in 
information systems an d associated controls;  
(f)  Documentation and reporting regarding cybersecurity events and related incident 
response activities;  
(g)  The evaluation and revision as necessary of the incident response plan following a 
cybersecurity event.  
(I)   
(1)  By the fifteenth day of February of each year, unless otherwise permitted to file on the first 
day of June in division (I)(2) of this section, each insurer domiciled in this state shall submit to 
the superintendent of insurance a written statement certifying that  the insurer is in compliance 
with the requirements set forth in this section. Each insurer shall maintain for examination by 
the department of insurance all records, schedules, and data supporting this certificate for a 
period of five years. To the extent  an insurer has identified areas, systems, or processes that 
require material improvement, updating, or redesign, the insurer shall document the 
identification and the remedial efforts planned and underway to address such areas, systems, or 
processes. Such  documentation must be available for inspection by the superintendent.  
(2)  Notwithstanding division (I)(1) of this section, an insurer domiciled in this state and 
licensed exclusively to conduct business in this state and no other state shall be permitted  to 
submit to the superintendent of insurance a written statement certifying that the insurer is in 
compliance with the requirements set forth in this section as part of the insurer’s corporate 
governance annual disclosure required by section 3901.073 of t he Revised Code.  
(J)  A licensee that meets the requirements of this chapter shall be deemed to have implemented a 
cybersecurity program that reasonably conforms to an industry -recognized cybersecurity 
framework for the purposes of Chapter 1354. of the Rev ised Code."
2,,"Page 3 of 4 
§ 1349.09. Responsibilities of operator of an online website that targets children.  
   chooses to withdraw consent for any reason, the parent or legal guardian shall notify the operator, 
and the operator shall terminate the child’s use of or access to the online web site, service, or 
product within thirty days after receiving such notificat ion. 
(G)  The attorney general shall investigate any noncompliance with this section in the same 
manner, by the same means, and with the same jurisdiction, powers, and duties as in section 
1349.191 of the Revised Code. Nothing in this section shall be inte rpreted to serve as the basis for 
a private right of action.  
(H)  If it appears that an operator of an online web site, service, or product failed to comply with 
this section, the attorney general has the exclusive authority to bring a civil action in a co urt of 
common pleas, or other appropriate court, for appropriate relief including a temporary restraining 
order, preliminary or permanent injunction, and civil penalties.  
(I)  If a court finds that an operator of an online web site, service, or product ent ered into a 
contract with a child without consent of the child’s parent or guardian, as required by this section, 
the court shall impose a civil penalty on the operator as follows:  
(1)  Up to one thousand dollars for each of the first sixty days the operat or failed to comply 
with this section;  
(2)  In addition to the civil penalty required by division (I)(1) of this section, up to five 
thousand dollars for each subsequent day the operator failed to comply with this section, 
commencing with the sixty -first d ay and ending with the ninetieth day;  
(3)  In addition to the civil penalties required by divisions (I)(1) and (2) of this section, up to 
ten thousand dollars for each subsequent day the operator failed to comply with this section, 
commencing with the ninety -first day.  
(J)  Any civil penalty that is imposed under division (I) of this section shall be deposited into the 
consumer protection enforcement fund created under section 1345.51 of the Revised Code.  
(K)  Any operator that is found by the court to have failed to comply with this section is liable to 
the attorney general for the attorney general’s costs in conducting an investigation and bringing an 
action under this section.  
(L)  The rights and remedies that are provided under this section are in ad dition to any other rights 
or remedies that are provided by law.  
(M)   
(1)  If an operator is in substantial compliance with this section, the attorney general shall 
provide written notice to the operator before commencing a civil action under this section . The 
notice must identify the specific provisions of this section that the attorney general alleges 
have been violated.  
(2)  The attorney general shall not commence a civil action under this section, and a court shall 
not impose a civil penalty, for a vio lation identified in a notice sent by the attorney general 
under division (M)(1) of this section if the operator does both of the following within ninety 
days after the date such notice is sent:  
(a)  Cures the violation;"
3,,"Page 2 of 2 
ORC Ann. 1354.03  
   (a)  The security requirements of the “Health Insurance Portability and Accountability 
Act of 1996,” as set forth in 45  CFR Part 164 Subpart C;  
(b)  Title V of the “Gramm -Leach -Bliley Act of 1999,” Public Law 106 -102, as 
amended;  
(c)  The “Federal Information Security Modernization Act of 2014,” Public Law 113 -
283; 
(d)  The “Health Information Technology for Economic and C linical Health Act,” as 
set forth in 45 CFR part 162.  
(2)  When a framework listed in division (B)(1) of this section is amended, a covered entity 
whose cybersecurity program reasonably conforms to that framework shall reasonably 
conform to the amended fra mework not later than one year after the effective date of the 
amended framework.  
(C)   
(1)  The cybersecurity program reasonably complies with both the current version of the 
“payment card industry (PCI) data security standard” and conforms to the current  version 
of another applicable industry recognized cybersecurity framework listed in division (A) of 
this section, subject to divisions (C)(2) and (D) of this section.  
(2)  When a final revision to the “PCI data security standard” is published, a covered entity 
whose cybersecurity program reasonably complies with that standard shall reasonably 
comply with the revised standard not later than one year after the publication date  stated in 
the revision.  
(D)  If a covered entity’s cybersecurity program reasonably conforms to a combination of 
industry recognized cybersecurity frameworks, or complies with a standard, as in the case of 
the payment card industry (PCI) data security sta ndard, as described in division (A) or (C) of 
this section, and two or more of those frameworks are revised, the covered entity whose 
cybersecurity program reasonably conforms to or complies with, as applicable, those 
frameworks shall reasonably conform to  or comply with, as applicable, all of the revised 
frameworks not later than one year after the latest publication date stated in the revisions.  
History   
 
2018 sb220, § 1, effective November 2, 2018.  
 
Page’s Ohio Revised Code Annotated  
Copyright © 2024 Al l rights reserved.  
 
 
End of Document"
4,,"Page 1 of 4 
ORC Ann. 3965.04  
    
ORC Ann. 3965.04  
Current through File 21 of the 135th General Assembly (2023 -2024).  
 
Page’s Ohio Revised Code Annotated   >  Title 39: Insurance (Chs. 3901 — 3999)   >  Chapter 3965 Cybersecurity 
framework. (§§ 3965.01 — 3965.11)  
 
§ 3965.04 Notification of a cybersecurity event involving nonpublic information.   
 
(A)  Each licensee shall notify the superintendent of insurance as promptly as possible after a 
determination that a cybersecurity event involving nonpublic information in the possession of the 
licensee has occurred, but in no event later than three business da ys after that determination, when 
either of the following criteria has been met:  
(1)  Both of the following apply:  
(a)  This state is the licensee’s state of domicile, in the case of an insurer, or this state is the 
licensee’s home state, in the case of an  independent insurance agent.  
(b)  The cybersecurity event has a reasonable likelihood of materially harming a consumer 
or a material part of the normal operations of the licensee.  
(2)  The licensee reasonably believes that the nonpublic information involv ed relates to two 
hundred fifty or more consumers residing in this state and the cybersecurity event is either of 
the following:  
(a)  A cybersecurity event impacting the licensee of which notice is required to be provided 
to any government body, self -regul atory agency, or any other supervisory body pursuant to 
any state or federal law;  
(b)  A cybersecurity event that has a reasonable likelihood of materially harming either of 
the following:  
(i)  Any consumer residing in this state;  
(ii)  Any material part of the normal operations of the licensee.  
(B)   
(1)  In providing the notification described in division (A) of this section, the licensee shall 
provide as much of the following information as possible:  
(a)  The date of the cybersecurity event;  
(b)  A desc ription of how the information was exposed, lost, stolen, or breached, including 
the specific roles and responsibilities of any third -party service providers;  
(c)  How the cybersecurity event was discovered;"
5,,"Trayce Hockstad   
ALM GL ch. 93H, § 2  
Current through Chapter 59 of the 2024 Legislative Session of  the 193rd General Court  
 
Annotated Laws of Massachusetts   >  PART I ADMINISTRATION OF THE GOVERNMENT (Chs. 1 - 182)  >  
TITLE XV REGULATION OF TRADE (Chs. 93 - 110H)   >  TITLE XV REGULATION OF TRADE (Chs. 93 
— 110H)   >  Chapter 93H Security Breaches (§§ 1  — 6) 
 
§ 2. Rules and Regulations.   
 
(a)  The department of consumer affairs and business regulation shall adopt regulations relative to 
any person that owns or licenses personal information about a resident of the commonwealth. Such 
regulations shall be  designed to safeguard the personal information of residents of the 
commonwealth and shall be consistent with the safeguards for protection of personal information 
set forth in the federal regulations by which the person is regulated. The objectives of the  
regulations shall be to: insure the security and confidentiality of customer information in a manner 
fully consistent with industry standards; protect against anticipated threats or hazards to the 
security or integrity of such information; and protect aga inst unauthorized access to or use of such 
information that may result in substantial harm or inconvenience to any consumer. The regulations 
shall take into account the person’s size, scope and type of business, the amount of resources 
available to such pe rson, the amount of stored data, and the need for security and confidentiality of 
both consumer and employee information.  
(b)  The supervisor of records, with the advice and consent of the information technology division 
to the extent of its jurisdiction t o set information technology standards under paragraph (d) of 
section 4A of chapter 7, shall establish rules or regulations designed to safeguard the personal 
information of residents of the commonwealth that is owned or licensed. Such rules or regulations  
shall be applicable to: (1) executive offices and any agencies, departments, boards, commissions 
and instrumentalities within an executive office; and (2) any authority created by the General 
Court, and the rules and regulations shall take into account th e size, scope and type of services 
provided thereby, the amount of resources available thereto, the amount of stored data, and the 
need for security and confidentiality of both consumer and employee information. The objectives 
of the rules or regulations s hall be to: insure the security and confidentiality of personal 
information; protect against anticipated threats or hazards to the security or integrity of such 
information; and to protect against unauthorized access to or use of such information that coul d 
result in substantial harm or inconvenience to any resident of the commonwealth.  
(c)  The legislative branch, the judicial branch, the attorney general, the state secretary, the state 
treasurer and the state auditor shall adopt rules or regulations designed to safeguard the personal 
information of residents of the commonwealth for their respective departments and shall take into 
account the size, scope and type of services provided by their departments, the amount of 
resources available thereto, the amount of stored data, and the need for security and confidentiality 
of both consumer and employee information. The objectives of the rules or regulations shall be to:"
6,,"Page 1 of 1 
R.I. Gen. Laws § 11 -49.3-7 
    
R.I. Gen. Laws § 11 -49.3-7 
Current through Chapter 24 of the 2024 Session  
 
General Laws of Rhode Island   >  Title 11 Criminal Offenses (Chs. 1 — 70)  >  Chapter 49.3 Identity Theft 
Protection Act of 2015 (§§ 11 -49.3-1 — 11-49.3-7) 
 
11-49.3-7. Notification of cybersecurity incident.   
 
(a)  Any municipal agency or state agency that detects a cybersecurity  incident shall provide 
notification to the Rhode Island state police upon detection of the cybersecurity incident within 
twenty -four (24) hours.  
(b)  Any municipal agency or state agency required to make notification under this section and 
fails to do so may be liable for a violation as set forth in § 11 -49.3-5. 
(c)  The notification shall include, at a minimum, the following information to the extent known:  
(1)  A general and brief description of the incident, including how the cybersecurity incident 
occu rred; and  
(2)  The date of the cybersecurity incident, estimated date of the cybersecurity incident, or the 
date range within which the cybersecurity incident occurred.  
History   
 
P.L. 2023, ch. 375, § 2, effective June 27, 2023.  
 
General Laws of Rhode Island  
Copyright © 2024 All rights reserved.  
 
 
End of Document"
7,,"Page 2 of 2 
HRS § 431:3B -203 
   (H)  Regularly test and monitor systems and procedures to detect actual and attempte d 
attacks on, or intrusions into, information systems;  
(I)  Include audit trails within the information security program designed to detect and 
respond to cybersecurity events and reconstruct material financial transactions sufficient to 
support normal ope rations and obligations of the licensee;  
(J)  Implement measures to protect against destruction, loss, or damage of nonpublic 
information due to environmental hazards, such as fire and water damage or other 
catastrophes or technological failures; and  
(K)  Develop, implement, and maintain procedures for the secure disposal of nonpublic 
information in any format;  
(3)  Include cybersecurity risks in the licensee’s enterprise risk management process;  
(4)  Stay informed regarding emerging threats or vulnerabilit ies and use reasonable security 
measures when sharing information relative to the character of the sharing and the type of 
information shared; and  
(5)  Provide its personnel with cybersecurity awareness training that is updated as necessary to 
reflect risk s identified by the licensee in the risk assessment.  
History   
 
L 2021, c 112, § 2, effective July 1, 2021.  
 
Michie's™ Hawaii Revised Statutes Annotated  
Copyright © 2024 All rights reserved.  
 
 
End of Document"
8,,"Page 2 of 2 
HRS § 128B -1 
   (3)  Improving the State’s cybersecurity by using existing resources within the State;  
(4)  Examining spec ific requirements and actions to accelerate the growth of the cybersecurity 
industry in the State;  
(5)  Defining the requirements and opportunities to secure state, federal, and private moneys 
for cybersecurity activities and related educational programs;  
(6)  Forming partnerships to implement cyber resiliency structures and protocol to identify and 
share information about possible cyber -attacks and mitigate damage and recover quickly and 
efficiently from cyber -attacks; and  
(7)  Expanding the State’s cybers ecurity and cyber resiliency understanding and workforce 
through education.  
(e)  The coordinator may request the assistance of other departments, agencies, and private 
companies, both inside and outside of the State to carry out its duties.  
(f)  For the pu rposes of this section:  
“Coordinator” shall mean the Hawaii cybersecurity, economic, education, and infrastructure 
security coordinator.  
“Cyber resiliency” shall mean the ability to complete vulnerability assessments, identify 
potential cyber -attacks, miti gate losses from cyber -attacks, and recover quickly and efficiently 
from cyber -attacks.  
History   
 
L 2014, c 129, § 2, effective July 1, 2014; am L 2020, c 70, § 3, effective September 15, 2020; am L 2022, 
c 278, § 40, effective January 1, 2024.  
 
Michie's™  Hawaii Revised Statutes Annotated  
Copyright © 2024 All rights reserved.  
 
 
End of Document"
9,,"Page 1 of 2 
HRS § 431:3B -302 
    
HRS § 431:3B -302 
 This document is current through Act 2 of the 2024 Legislative Session. Subject to changes by Revisor 
pursuant to HRS 23G -15. 
 
Michie's™ Hawaii Revised Statutes Annotated   >  Division 2. Business (Titles 22 — 27)  >  Title 24 Insurance 
(Chs. 431 — 435H)   >  Chapter 431 Insurance Code (Arts. 1 — 31)  >  Article 3B Insurance Data Security Law 
(Pts. I — III)  >  Part III. Cybersecurity Events (§§ 431:3B -301 — 431:3B -306) 
 
[§ 431:3B -302.] Notification of a cybersecurity event.   
 
(a)  Each licensee shall notify the commissioner as promptly as possible, but in no event later than 
three business days from a determination that a cybersecurity event impacting two hundred fifty or 
more consumers has occurred. If law enforcement officials ins truct a licensee not to distribute 
information regarding a cybersecurity event, the licensee shall not be required to provide 
notification until instructed to do so by law enforcement officials. Notification shall be provided 
when either of the following c riteria has been met:  
(1)  The licensee is domiciled in the State, in the case of an insurer, or the licensee’s home 
state is Hawaii, in the case of an independent insurance producer; or  
(2)  The licensee reasonably believes that the nonpublic information involved is of two 
hundred fifty or more consumers residing in the State and is a cybersecurity event that has a 
reasonable likelihood of materially harming:  
(A)  Any consumer residing in the State; or  
(B)  Any material part of the normal operation of the licensee.  
(b)  The licensee shall provide as much of the following information as possible and practicable 
and as promptly as possible:  
(1)  The date of the cybersecurity event;  
(2)  The description of how the nonpublic information was exposed, lost, stole n, or breached, 
including the specific roles and responsibilities of third -party service providers, if any;  
(3)  How the cybersecurity event was discovered;  
(4)  Whether any lost, stolen, or breached information has been recovered and, if so, how it 
was re covered;  
(5)  The identity of the source of the cybersecurity event;  
(6)  Whether the licensee has filed a police report or has notified any regulatory, government, 
or law enforcement agencies and, if so, when the notification was provided;"
