,question,chunks
0,How do state cybersecurity regulations accommodate the needs and concerns of small and medium-sized enterprises (SMEs) compared to larger corporations?,"Page 1 of 2 
ORC Ann. 1354.03  
    
ORC Ann. 1354.03  
Current through File 21 of the 135th General Assembly (2023 -2024).  
 
Page’s Ohio Revised Code Annotated   >  Title 13: Commercial Transactions — Other Commercial Transactions 
(Chs. 1301 — 1355)   >  Chapter 1354: Safe Harbor for Cybersecurity Programs  (§§ 1354.01 — 1354.05)  
 
§ 1354.03 Reasonably confirms to industry standard.   
 
A covered entity’s cybersecurity program, as described in section 1354.02 of the Revised Code, 
reasonably conforms to an industry recognized cybersecurity framework for purposes of that 
section if division (A), (B), or (C) of this section is satisfied.  
(A)   
(1)  The cyberse curity program reasonably conforms to the current version of any of the 
following or any combination of the following, subject to divisions (A)(2) and (D) of this 
section:  
(a)  The “framework for improving critical infrastructure cybersecurity” developed b y 
the “national institute of standards and technology” (NIST);  
(b)  “NIST special publication 800 -171”;  
(c)  “NIST special publications 800 -53 and 800 -53a”;  
(d)  The “federal risk and authorization management program (FedRAMP) security 
assessment framework ”; 
(e)  The “center for internet security critical security controls for effective cyber 
defense”;  
(f)  The “international organization for standardization/international electrotechnical 
commission 27000 family - information security management systems.”  
(2)  When a final revision to a framework listed in division (A)(1) of this section is 
published, a covered entity whose cybersecurity program reasonably conforms to that 
framework shall reasonably conform to the revised framework not later than one year a fter 
the publication date stated in the revision.  
(B)   
(1)  The covered entity is regulated by the state, by the federal government, or both, or is 
otherwise subject to the requirements of any of the laws or regulations listed below, and the 
cybersecurity  program reasonably conforms to the entirety of the current version of any of 
the following, subject to division (B)(2) of this section:"
1,,"Page 1 of 2 
ORC Ann. 1354.02  
    
ORC Ann. 1354.02  
Current through File 21 of the 135th General Assembly (2023 -2024).  
 
Page’s Ohio Revised Code Annotated   >  Title 13: Commercial Transactions — Other Commercial Transactions 
(Chs. 1301 — 1355)   >  Chapter 1354: Safe Harbor for Cybersecurity Programs  (§§ 1354.01 — 1354.05)  
 
§ 1354.02 Cybersecurity requirements to seek affirmative defense.   
 
(A)  A covered entity seeking an affirmative defense under sections 1354.01 to 1354.05 of the 
Revised Code shall do one of the following:  
(1)  Create, maintain, and comply with a written cybersecurity program that contains 
administrative, technical, and physical  safeguards for the protection of personal information 
and that reasonably conforms to an industry recognized cybersecurity framework, as described 
in section 1354.03 of the Revised Code; or  
(2)  Create, maintain, and comply with a written cybersecurity pr ogram that contains 
administrative, technical, and physical safeguards for the protection of both personal 
information and restricted information and that reasonably conforms to an industry recognized 
cybersecurity framework, as described in section 1354.0 3 of the Revised Code.  
(B)  A covered entity’s cybersecurity program shall be designed to do all of the following with 
respect to the information described in division (A)(1) or (2) of this section, as applicable:  
(1)  Protect the security and confidential ity of the information;  
(2)  Protect against any anticipated threats or hazards to the security or integrity of the 
information;  
(3)  Protect against unauthorized access to and acquisition of the information that is likely to 
result in a material risk of identity theft or other fraud to the individual to whom the 
information relates.  
(C)  The scale and scope of a covered entity’s cybersecurity program under division (A)(1) or (2) 
of this section, as applicable, is appropriate if it is based on all of the f ollowing factors:  
(1)  The size and complexity of the covered entity;  
(2)  The nature and scope of the activities of the covered entity;  
(3)  The sensitivity of the information to be protected;  
(4)  The cost and availability of tools to improve information  security and reduce 
vulnerabilities;  
(5)  The resources available to the covered entity.  
(D)"
2,,"Page 3 of 5 
ORC Ann. 3965.02  
   (i)  Include audit trails within the information security program designed to detect and 
respond to cybersecurity events and designed to reconstruct material financial transactions 
sufficient to support normal oper ations and obligations of the licensee;  
(j)  Implement measures to protect against destruction, loss, or damage of nonpublic 
information due to environmental hazards, such as fire and water damage or other 
catastrophes or technological failures;  
(k)  Devel op, implement, and maintain procedures for the secure disposal of nonpublic 
information in any format.  
(3)  Include cybersecurity risks in the licensee’s enterprise risk management process;  
(4)  Stay informed regarding emerging threats or vulnerabilities a nd utilize reasonable security 
measures when sharing information relative to the character of the sharing and the type of 
information shared;  
(5)  Provide its personnel with cybersecurity awareness training that is updated as necessary to 
reflect risks ide ntified by the licensee in the risk assessment.  
(E)  If the licensee has a board of directors, the board or an appropriate committee of the board 
shall, at a minimum, do all of the following:  
(1)  Require the licensee’s executive management or its delegate s to develop, implement, and 
maintain the licensee’s information security program;  
(2)  Require the licensee’s executive management or its delegates to report in writing at least 
annually, all of the following information:  
(a)  The overall status of the information security program and the licensee’s compliance 
with this chapter;  
(b)  Material matters related to the information security program, addressing issues such as 
risk assessment, risk management and control decisions, third -party service provider 
arrangements, results of testing, cybersecurity events or violations and management’s 
responses thereto, and recommendations for changes in the information security program.  
(3)  If executive management delegates any of its responsibilities under this sect ion, it shall 
oversee the development, implementation, and maintenance of the licensee’s information 
security program prepared by the delegates and shall require the delegates to submit a report 
that complies with the requirements of division (E)(2) of thi s section.  
(F)   
(1)  A licensee shall exercise due diligence in selecting its third -party service provider.  
(2)  A licensee shall require a third -party service provider to implement appropriate 
administrative, technical, and physical measures to protect a nd secure the information systems 
and nonpublic information that are accessible to, or held by, the third -party service provider.  
(G)  The licensee shall monitor, evaluate, and adjust, as appropriate, the information security 
program consistent with all of  the following:  
(1)  Any relevant changes in technology;  
(2)  The sensitivity of its nonpublic information;"
3,,"Page 4 of 5 
ORC Ann. 3965.02  
   (3)  Internal or external threats to information;  
(4)  The licensee’s own changing business arrangements, such as mergers and acquisitions, 
alliances and joint ventures, outsourcing arrangements, and changes to information systems.  
(H)   
(1)  As part of its information security program, each licensee shall establish a written incident 
response plan designed to promptly respond to, and recover from, any cybersecurity event that 
compromises the confidentiality, integrity, or availability of nonpublic information in its 
possession, the licensee’s information systems, or the continuing functionality of any aspect of 
the licensee’s business or opera tions.  
(2)  The incident response plan described in division (H) (1) of this section shall address all of 
the following areas:  
(a)  The internal process for responding to a cybersecurity event;  
(b)  The goals of the incident response plan;  
(c)  The definit ion of clear roles, responsibilities, and levels of decision -making authority;  
(d)  External and internal communications and information sharing;  
(e)  Identification of requirements for the remediation of any identified weaknesses in 
information systems an d associated controls;  
(f)  Documentation and reporting regarding cybersecurity events and related incident 
response activities;  
(g)  The evaluation and revision as necessary of the incident response plan following a 
cybersecurity event.  
(I)   
(1)  By the fifteenth day of February of each year, unless otherwise permitted to file on the first 
day of June in division (I)(2) of this section, each insurer domiciled in this state shall submit to 
the superintendent of insurance a written statement certifying that  the insurer is in compliance 
with the requirements set forth in this section. Each insurer shall maintain for examination by 
the department of insurance all records, schedules, and data supporting this certificate for a 
period of five years. To the extent  an insurer has identified areas, systems, or processes that 
require material improvement, updating, or redesign, the insurer shall document the 
identification and the remedial efforts planned and underway to address such areas, systems, or 
processes. Such  documentation must be available for inspection by the superintendent.  
(2)  Notwithstanding division (I)(1) of this section, an insurer domiciled in this state and 
licensed exclusively to conduct business in this state and no other state shall be permitted  to 
submit to the superintendent of insurance a written statement certifying that the insurer is in 
compliance with the requirements set forth in this section as part of the insurer’s corporate 
governance annual disclosure required by section 3901.073 of t he Revised Code.  
(J)  A licensee that meets the requirements of this chapter shall be deemed to have implemented a 
cybersecurity program that reasonably conforms to an industry -recognized cybersecurity 
framework for the purposes of Chapter 1354. of the Rev ised Code."
4,,"Page 2 of 2 
ORC Ann. 1354.03  
   (a)  The security requirements of the “Health Insurance Portability and Accountability 
Act of 1996,” as set forth in 45  CFR Part 164 Subpart C;  
(b)  Title V of the “Gramm -Leach -Bliley Act of 1999,” Public Law 106 -102, as 
amended;  
(c)  The “Federal Information Security Modernization Act of 2014,” Public Law 113 -
283; 
(d)  The “Health Information Technology for Economic and C linical Health Act,” as 
set forth in 45 CFR part 162.  
(2)  When a framework listed in division (B)(1) of this section is amended, a covered entity 
whose cybersecurity program reasonably conforms to that framework shall reasonably 
conform to the amended fra mework not later than one year after the effective date of the 
amended framework.  
(C)   
(1)  The cybersecurity program reasonably complies with both the current version of the 
“payment card industry (PCI) data security standard” and conforms to the current  version 
of another applicable industry recognized cybersecurity framework listed in division (A) of 
this section, subject to divisions (C)(2) and (D) of this section.  
(2)  When a final revision to the “PCI data security standard” is published, a covered entity 
whose cybersecurity program reasonably complies with that standard shall reasonably 
comply with the revised standard not later than one year after the publication date  stated in 
the revision.  
(D)  If a covered entity’s cybersecurity program reasonably conforms to a combination of 
industry recognized cybersecurity frameworks, or complies with a standard, as in the case of 
the payment card industry (PCI) data security sta ndard, as described in division (A) or (C) of 
this section, and two or more of those frameworks are revised, the covered entity whose 
cybersecurity program reasonably conforms to or complies with, as applicable, those 
frameworks shall reasonably conform to  or comply with, as applicable, all of the revised 
frameworks not later than one year after the latest publication date stated in the revisions.  
History   
 
2018 sb220, § 1, effective November 2, 2018.  
 
Page’s Ohio Revised Code Annotated  
Copyright © 2024 Al l rights reserved.  
 
 
End of Document"
5,,"Trayce Hockstad   
ALM GL ch. 93H, § 2  
Current through Chapter 59 of the 2024 Legislative Session of  the 193rd General Court  
 
Annotated Laws of Massachusetts   >  PART I ADMINISTRATION OF THE GOVERNMENT (Chs. 1 - 182)  >  
TITLE XV REGULATION OF TRADE (Chs. 93 - 110H)   >  TITLE XV REGULATION OF TRADE (Chs. 93 
— 110H)   >  Chapter 93H Security Breaches (§§ 1  — 6) 
 
§ 2. Rules and Regulations.   
 
(a)  The department of consumer affairs and business regulation shall adopt regulations relative to 
any person that owns or licenses personal information about a resident of the commonwealth. Such 
regulations shall be  designed to safeguard the personal information of residents of the 
commonwealth and shall be consistent with the safeguards for protection of personal information 
set forth in the federal regulations by which the person is regulated. The objectives of the  
regulations shall be to: insure the security and confidentiality of customer information in a manner 
fully consistent with industry standards; protect against anticipated threats or hazards to the 
security or integrity of such information; and protect aga inst unauthorized access to or use of such 
information that may result in substantial harm or inconvenience to any consumer. The regulations 
shall take into account the person’s size, scope and type of business, the amount of resources 
available to such pe rson, the amount of stored data, and the need for security and confidentiality of 
both consumer and employee information.  
(b)  The supervisor of records, with the advice and consent of the information technology division 
to the extent of its jurisdiction t o set information technology standards under paragraph (d) of 
section 4A of chapter 7, shall establish rules or regulations designed to safeguard the personal 
information of residents of the commonwealth that is owned or licensed. Such rules or regulations  
shall be applicable to: (1) executive offices and any agencies, departments, boards, commissions 
and instrumentalities within an executive office; and (2) any authority created by the General 
Court, and the rules and regulations shall take into account th e size, scope and type of services 
provided thereby, the amount of resources available thereto, the amount of stored data, and the 
need for security and confidentiality of both consumer and employee information. The objectives 
of the rules or regulations s hall be to: insure the security and confidentiality of personal 
information; protect against anticipated threats or hazards to the security or integrity of such 
information; and to protect against unauthorized access to or use of such information that coul d 
result in substantial harm or inconvenience to any resident of the commonwealth.  
(c)  The legislative branch, the judicial branch, the attorney general, the state secretary, the state 
treasurer and the state auditor shall adopt rules or regulations designed to safeguard the personal 
information of residents of the commonwealth for their respective departments and shall take into 
account the size, scope and type of services provided by their departments, the amount of 
resources available thereto, the amount of stored data, and the need for security and confidentiality 
of both consumer and employee information. The objectives of the rules or regulations shall be to:"
6,,"Trayce Hockstad   
ALM GL ch. 40J, § 6J  
Current through Chapter 59 of the 2024 Legislative Session of the 193rd General Court  
 
Annotated Laws of Massachusetts   >  PART I ADMINISTRATION OF THE GOVERNMENT (Chs. 1 - 182)  >  
TITLE VII CITIES, TOWNS AND DISTRICTS (Chs. 39 - 49A)   >  TITLE VII CITIES, TOWNS AND 
DISTRICTS (Chs. 39 — 49A)   >  Chapter 40J Massa chusetts Technology Park Corporation (§§ 1 — 13) 
 
§ 6J. Massachusetts Cybersecurity Center.   
 
(a)  There shall be established within the corporation a Massachusetts cybersecurity  center. The 
purpose of the center shall be to enhance the conditions for economic growth through outreach to 
the cybersecurity industry cluster in the commonwealth and to foster cybersecurity resiliency 
through communication, collaboration and outreach wi th state agencies, municipalities, 
educational institutions and private partners.  
(b)  The center shall carry out the purposes of the fund established in section 4H.  
(c)  The center shall be responsible for convening state and local officials and private sector 
participants to recommend actions needed to address the cybersecurity resiliency of the 
commonwealth. The center may also convene regional hubs for business developm ent to support 
cybersecurity entrepreneurs that are establishing innovative technologies to support resiliency.  
(d)  The center shall work in collaboration with private sector entities, educational institutions and 
state and local government to address cyb ersecurity issues, including, but not limited to: (i) 
improving the cybersecurity of organizations across the commonwealth, particularly 
municipalities, small businesses and non -profits, without access to affordable resources to defend 
against cybersecurit y threats and to maintain cyber resiliency; (ii) the shortage of trained workers 
available to meet the cybersecurity industry’s workforce demands, with a particular focus on 
increasing the diversity of the cybersecurity workforce; and (iii) the lack of aff ordable 
cybersecurity training for employees in all types of businesses.  
History   
 
2022, 268, § 44, effective November 10, 2022.  
 
Annotated Laws of Massachusetts  
Copyright © 2024 All rights reserved.  
 
 
End of Document"
7,,"Page 2 of 2 
HRS § 431:3B -203 
   (H)  Regularly test and monitor systems and procedures to detect actual and attempte d 
attacks on, or intrusions into, information systems;  
(I)  Include audit trails within the information security program designed to detect and 
respond to cybersecurity events and reconstruct material financial transactions sufficient to 
support normal ope rations and obligations of the licensee;  
(J)  Implement measures to protect against destruction, loss, or damage of nonpublic 
information due to environmental hazards, such as fire and water damage or other 
catastrophes or technological failures; and  
(K)  Develop, implement, and maintain procedures for the secure disposal of nonpublic 
information in any format;  
(3)  Include cybersecurity risks in the licensee’s enterprise risk management process;  
(4)  Stay informed regarding emerging threats or vulnerabilit ies and use reasonable security 
measures when sharing information relative to the character of the sharing and the type of 
information shared; and  
(5)  Provide its personnel with cybersecurity awareness training that is updated as necessary to 
reflect risk s identified by the licensee in the risk assessment.  
History   
 
L 2021, c 112, § 2, effective July 1, 2021.  
 
Michie's™ Hawaii Revised Statutes Annotated  
Copyright © 2024 All rights reserved.  
 
 
End of Document"
8,,"Page 2 of 2 
HRS § 128B -1 
   (3)  Improving the State’s cybersecurity by using existing resources within the State;  
(4)  Examining spec ific requirements and actions to accelerate the growth of the cybersecurity 
industry in the State;  
(5)  Defining the requirements and opportunities to secure state, federal, and private moneys 
for cybersecurity activities and related educational programs;  
(6)  Forming partnerships to implement cyber resiliency structures and protocol to identify and 
share information about possible cyber -attacks and mitigate damage and recover quickly and 
efficiently from cyber -attacks; and  
(7)  Expanding the State’s cybers ecurity and cyber resiliency understanding and workforce 
through education.  
(e)  The coordinator may request the assistance of other departments, agencies, and private 
companies, both inside and outside of the State to carry out its duties.  
(f)  For the pu rposes of this section:  
“Coordinator” shall mean the Hawaii cybersecurity, economic, education, and infrastructure 
security coordinator.  
“Cyber resiliency” shall mean the ability to complete vulnerability assessments, identify 
potential cyber -attacks, miti gate losses from cyber -attacks, and recover quickly and efficiently 
from cyber -attacks.  
History   
 
L 2014, c 129, § 2, effective July 1, 2014; am L 2020, c 70, § 3, effective September 15, 2020; am L 2022, 
c 278, § 40, effective January 1, 2024.  
 
Michie's™  Hawaii Revised Statutes Annotated  
Copyright © 2024 All rights reserved.  
 
 
End of Document"
9,,"Page 1 of 2 
HRS § 431:3B -302 
    
HRS § 431:3B -302 
 This document is current through Act 2 of the 2024 Legislative Session. Subject to changes by Revisor 
pursuant to HRS 23G -15. 
 
Michie's™ Hawaii Revised Statutes Annotated   >  Division 2. Business (Titles 22 — 27)  >  Title 24 Insurance 
(Chs. 431 — 435H)   >  Chapter 431 Insurance Code (Arts. 1 — 31)  >  Article 3B Insurance Data Security Law 
(Pts. I — III)  >  Part III. Cybersecurity Events (§§ 431:3B -301 — 431:3B -306) 
 
[§ 431:3B -302.] Notification of a cybersecurity event.   
 
(a)  Each licensee shall notify the commissioner as promptly as possible, but in no event later than 
three business days from a determination that a cybersecurity event impacting two hundred fifty or 
more consumers has occurred. If law enforcement officials ins truct a licensee not to distribute 
information regarding a cybersecurity event, the licensee shall not be required to provide 
notification until instructed to do so by law enforcement officials. Notification shall be provided 
when either of the following c riteria has been met:  
(1)  The licensee is domiciled in the State, in the case of an insurer, or the licensee’s home 
state is Hawaii, in the case of an independent insurance producer; or  
(2)  The licensee reasonably believes that the nonpublic information involved is of two 
hundred fifty or more consumers residing in the State and is a cybersecurity event that has a 
reasonable likelihood of materially harming:  
(A)  Any consumer residing in the State; or  
(B)  Any material part of the normal operation of the licensee.  
(b)  The licensee shall provide as much of the following information as possible and practicable 
and as promptly as possible:  
(1)  The date of the cybersecurity event;  
(2)  The description of how the nonpublic information was exposed, lost, stole n, or breached, 
including the specific roles and responsibilities of third -party service providers, if any;  
(3)  How the cybersecurity event was discovered;  
(4)  Whether any lost, stolen, or breached information has been recovered and, if so, how it 
was re covered;  
(5)  The identity of the source of the cybersecurity event;  
(6)  Whether the licensee has filed a police report or has notified any regulatory, government, 
or law enforcement agencies and, if so, when the notification was provided;"
