,question,chunks
0,"What laws are in place in the United States of America to safeguard a person's credit card details, location tracking, biometric information, and financial records while using services from an autonomous vehicle?","Page 2 of 2 
§ 1349.17 Restrictions on recording credit card, telephone or social security numbers.  
    
End of Document"
1,,"Trayce Hockstad   
ORC Ann. 1349.17  
Current through File 26 of the 135th General Assembly (2023 -2024).  
 
Page’s Ohio Revised Code Annotated   >  Title 13: Commercial Transactions — Other Commercial Transactions 
(Chs. 1301 — 1355)   >  Chapter 1349: Consumer Protection (§§ 1349.01 — 1349.99)  
 
§ 1349.17 Restrictions on recording credit card, telephone or social security numbers.   
 
(A)  No person shall record or cause to be recorded either of the following:  
(1)  A credit card account number of the other party to a transaction, when a check, bill of 
exchange, or other draft is presented for payment;  
(2)  The telephone number or social security account number of the other party to a 
transaction, when payment is made by credit card charge agreement, check, bill of exchange, 
or other draft.  
(B)  Division  (A) of this section does not apply to a transaction, if all of the following conditions 
are met:  
(1)  The credit card account number, social security account number, or telephone number is 
recorded for a legitimate business purpose, including collection p urposes.  
(2)  The other party to the transaction consents to the recording of the credit card account 
number, social security account number, or telephone number.  
(3)  The credit card account number, social security account number, or telephone number that  
is recorded during the course of the transaction is not disclosed to any third party for any 
purposes other than collection purposes and is not used to market goods or services unrelated 
to the goods or services purchased in the transaction.  
(C)  Nothing  in this section prohibits the recording of the number of a credit card account when 
given in lieu of a deposit to secure payment in the event of default, loss, damage, or other 
occurrence, or requires a person to accept a check presented for payment, if t he other party to the 
transaction refuses to consent to the recording of the number of the party’s social security account 
or license to operate a motor vehicle.  
History   
 
144 v H 20 (Eff 8 -20-91); 145 v H 266. Eff 7 -30-93. 
 
Page’s Ohio Revised Code Annot ated 
Copyright © 2024 All rights reserved."
2,,"Page 7 of 8 
§ 1349.52 Consumer may elect to place security freeze on credit report.  
   (1)  The attorney general may conduct an investigation if the attorney general, based o n 
complaints or the attorney general’s own inquiries, has reason to believe that a consumer credit 
reporting agency has failed or is failing to comply with this section.  
(2)  In any investigation conducted pursuant to this section, the attorney general may  
administer oaths, subpoena witnesses, adduce evidence, and subpoena the production of any 
book, document, record, or other relevant matter.  
(3)  If the attorney general under division (M)(2) of this section subpoenas the production of 
any relevant matter that is located outside this state, the attorney general may designate a 
representative, including an official of the state in which that relevant matter is located, to 
inspect the relevant matter on the attorney general’s behalf. The attorney general may carry out 
similar requests received from officials of other states.  
(4)  Any person who is subpoenaed to produce relevant matter pursuant to division (M)(2) of 
this section shall make that relevant matter available at a convenient location within this stat e 
or the state of the representative designated under division (M)(3) of this section.  
(5)  Any person who is subpoenaed as a witness or to produce relevant matter pursuant to 
division (M)(2) of this section may file in the court of common pleas of Frankli n county, the 
county in this state in which the person resides, or the county in this state in which the person’s 
principal place of business is located a petition to extend for good cause shown the date on 
which the subpoena is to be returned or to modify  or quash for good cause shown that 
subpoena. The person may file the petition at any time prior to the date specified for the return 
of the subpoena or within twenty days after the service of the subpoena, whichever is earlier.  
(6)  Any person who is subp oenaed as a witness or to produce relevant matter pursuant to 
division (M)(2) of this section shall comply with the terms of the subpoena unless the court 
orders otherwise prior to the date specified for the return of the subpoena or, if applicable, that 
date as extended. If a person fails without lawful excuse to obey a subpoena, the attorney 
general may apply to the court of common pleas for an order that does one or more of the 
following:  
(a)  Compels the requested discovery;  
(b)  Adjudges the person in contempt of court;  
(c)  Grants injunctive relief to restrain the person from failing to comply with section 
1347.12 or 1349.19 of the Revised Code, whichever is applicable;  
(d)  Grants injunctive relief to preserve or restore the status quo;  
(e)  Grants ot her relief that may be required until the person obeys the subpoena.  
(N)   
(1)  The attorney general has the authority to bring a civil action in a court of common pleas 
for appropriate relief under this section, including a temporary restraining order, pr eliminary or 
permanent injunction, and civil penalties, if it appears that a consumer credit reporting agency 
has failed or is failing to comply with this section. Upon its finding that a consumer credit 
reporting agency has intentionally or recklessly fai led to comply with this section, the court 
shall impose a civil penalty upon the consumer credit reporting agency of up to two thousand"
3,,"Page 2 of 8 
§ 1349.52 Consumer may elect to place security freeze on credit report.  
   or protected consumer’s credit report or any information derived from the consumer’s or 
protected consumer’s credit report relating to the extension of credit without the express 
authorization of the cons umer or protected consumer’s representative.  
(9)  “Sufficient proof of authority” means documentation that shows a representative has 
authority to act on behalf of a protected consumer. “Sufficient proof of authority” includes any 
of the following:  
(a)  An order issued by a court of competent jurisdiction;  
(b)  A lawfully executed and valid power of attorney;  
(c)  A birth certificate, naming the representative as a parent of the protected consumer, in 
the case of a minor protected consumer;  
(d)  A written, notarized statement signed by the representative that expressly describes the 
authority of the representative to act on behalf of the protected consumer.  
(10)  “Sufficient proof of identity” means information or documentation that identifies a 
protected co nsumer or a representative of a protected consumer. “Sufficient proof of identity” 
includes any of the following:  
(a)  A social security number or a copy of a social security card issued by the social 
security administration;  
(b)  A certified or official c opy of a birth certificate issued by an entity authorized to issue 
the birth certificate;  
(c)  A copy of a driver’s license, a state identification card, or any other government -issued 
identification;  
(d)  A copy of a bill, including a bill for telephone, sewer, septic tank, water, electric, oil, 
or natural gas services, that shows a name and home address.  
(11)  “Other comparable service” means a service for which a receipt of delivery is provided.  
(B)   
(1)  Except as provided in division (B)(2) of this section, a consumer may elect to place a 
security freeze on the consumer’s credit report by making a request to a consumer credit 
reporting agency in writing by certified mail or other comparable service or by any secured 
electronic method authorized by th e consumer credit reporting agency.  
(2)  Security freezes for protected consumers shall be governed by section 1349.521 of the 
Revised Code.  
(C)  A consumer credit reporting agency shall place a security freeze on a credit report not later 
than three busin ess days after receiving a request pursuant to division (B) of this section. The 
consumer credit reporting agency shall send a written confirmation of the security freeze to the 
consumer within five business days of placing the security freeze and, at the same time, shall 
provide the consumer with a unique personal identification number or password. The number or 
password shall not be the consumer’s social security number.  
(D)  A consumer may allow the consumer’s credit report to be accessed for a specific party or 
period of time while a security freeze is in place by contacting the consumer credit reporting"
4,,"Page 2 of 5 
§ 1349.19 Disclosure or notification of breach of security of computerized personal information system.  
   (b)  Credit account information from persons who furnish that information regularly and in 
the ordinary course of business.  
(4)  “Encryption” means the use of an algorithmic process to transform data into a form in 
which there is a low probability of assigning meaning without use of a confidential process or 
key. 
(5)  “Individual” means a natural person.  
(6)  “Person” has the same meaning as in section 1.59 of the Revised Code , except that 
“person” includes a business entity only if the business entity conducts business in this state.  
(7)   
(a)  “Personal information” means an individual’s name, consisting of the individual’s first 
name or first initial and last name, in combin ation with and linked to any one or more of 
the following data elements, when the data elements are not encrypted, redacted, or altered 
by any method or technology in such a manner that the data elements are unreadable:  
(i)  Social security number;  
(ii)  Driver’s license number or state identification card number;  
(iii)  Account number or credit or debit card number, in combination with and linked to 
any required security code, access code, or password that would permit access to an 
individual’s financial a ccount.  
(b)  “Personal information” does not include publicly available information that is lawfully 
made available to the general public from federal, state, or local government records or any 
of the following media that are widely distributed:  
(i)  Any n ews, editorial, or advertising statement published in any bona fide newspaper, 
journal, or magazine, or broadcast over radio or television;  
(ii)  Any gathering or furnishing of information or news by any bona fide reporter, 
correspondent, or news bureau to news media described in division (A)(7)(b)(i) of this 
section;  
(iii)  Any publication designed for and distributed to members of any bona fide 
association or charitable or fraternal nonprofit corporation;  
(iv)  Any type of media similar in nature to any item, entity, or activity identified in 
division (A)(7)(b)(i), (ii), or (iii) of this section.  
(8)  “Record” means any information that is stored i n an electronic medium and is retrievable 
in perceivable form. “Record” does not include any publicly available directory containing 
information an individual voluntarily has consented to have publicly disseminated or listed, 
such as name, address, or tele phone number.  
(9)  “Redacted” means altered or truncated so that no more than the last four digits of a social 
security number, driver’s license number, state identification card number, account number, or 
credit or debit card number is accessible as part of the data.  
(10)  “System” means any collection or group of related records that are kept in an organized 
manner, that are maintained by a person, and from which personal information is retrieved by"
5,,"Page 3 of 3 
ALM GL ch. 6, § 220  
 Trayce Hockstad   video or image redaction software; provided, that such software does not have the capability of 
performing facial recognition or other remote biometric recognition; and (iii) receive evidence 
related to the investigation of a crim e derived from a biometric surveillance system; provided, that 
the use of a biometric surveillance system was not knowingly solicited by or obtained with the 
assistance of a public agency or any public official in violation of said subsection (b).  
History   
 
2020, 253, § 26, effective July 1, 2021.  
 
Annotated Laws of Massachusetts  
Copyright © 2024 All rights reserved.  
 
 
End of Document"
6,,"Page 2 of 3 
ALM GL ch. 6, § 220  
 Trayce Hockstad   (b)  Any law enforcement agency performing or requesting a facial recognition search using facial 
recognition technology shall only do so through a written request submitted to the registrar of 
motor vehicles, the department of state police or the Federal Bureau of Investigation. A law 
enforcement agency may perform such a facial recognition search for the following purposes: (i) 
to execute an order, issued by a court or justice authorized to issue warrants in c riminal cases, 
based upon specific and articulable facts and reasonable inferences therefrom that provide 
reasonable grounds to believe that the information sought would be relevant and material to an 
ongoing criminal investigation or to mitigate a substan tial risk of harm to any individual or group 
of people; or (ii) without an order to identify a deceased person or if the law enforcement agency 
reasonably believes that an emergency involving substantial risk of harm to any individual or 
group of people re quires the performance of a facial recognition search without delay. Any 
emergency request shall be narrowly tailored to address the emergency and shall document the 
factual basis for believing that an emergency requires the performance of a facial recogni tion 
search without delay.  
This subsection shall not apply to the department of state police when performing investigatory 
functions related to the issuance of identification documents by the registrar of motor vehicles.  
(c)  Law enforcement agencies shall  document each facial recognition search performed and shall 
provide such documentation quarterly to the executive office of public safety and security. Such 
documentation shall include: (i) a copy of any written request made for a facial recognition searc h; 
(ii) the date and time of the request; (iii) the number of matches returned, if any; (iv) the database 
searched; (v) the name and position of the requesting individual and employing law enforcement 
agency; (vi) the reason for the request, including, but  not limited to, any underlying suspected 
crime; (vii) the entity to which the request was submitted; and (viii) data detailing the individual 
characteristics included in the facial recognition request. Such documentation shall not be a public 
record, exce pt for as provided for in (d).  
(d)  Annually, not later than September 1, the executive office of public safety and security shall 
publish on its website documentation received from law enforcement agencies under subsection 
(c) and the following data for t he previous calendar year: (i) the total number of facial recognition 
search requests made by other law enforcement agencies to the department of state police, 
disaggregated by law enforcement agency; (ii) the total number of facial recognition searches 
performed by the department of state police, disaggregated by law enforcement agency on whose 
behalf the search was performed; (iii) the total number of facial recognition searches requested and 
performed by the state police; (iv) the total number of facial recognition search requests made by 
the department of state police to the Federal Bureau of Investigation, disaggregated by law 
enforcement agency on whose behalf the requests were made; and (v) the total number of facial 
recognition searches performed by the Federal Bureau of Investigation on behalf of Massachusetts 
law enforcement agencies, disaggregated by law enforcement agency on whose behalf the search 
was performed. For each category of data and each law enforcement agency, the published 
information shall specify the number of requests made or searches performed pursuant to a court 
order, the number of emergency requests made or searches performed, and the reason for 
requesting the search, including, but not limited to, any underlying suspected crime.  
(e)  Notwithstanding subsection (b), a law enforcement agency may: (i) acquire and possess 
personal electronic devices, such as a cell phone or tablet, that utilizes facial recognition 
technology for the sole purpose of user authentication; (ii) acquire, possess and use automated"
7,,"Page 2 of 2 
ALM GL ch. 93H, § 2  
 Trayce Hockstad   insure the security and confidentiality of customer information in a manner fully consis tent with 
industry standards; protect against anticipated threats or hazards to the security or integrity of such 
information; and protect against unauthorized access to or use of such information that could result 
in substantial harm or inconvenience to a ny resident of the commonwealth.  
History   
 
2007, 82, § 16.  
 
Annotated Laws of Massachusetts  
Copyright © 2024 Matthew Bender & Company, Inc.,  
a member of the LexisNexis Group All rights reserved.  
 
 
End of Document"
8,,"Page 2 of 3 
ALM GL ch. 93H, § 3  
 Trayce Hockstad   shall file a report with the attorney general and the director of consumer affairs and business 
regulation certifying their credit monitoring services comply with section 3 A.  
Upon receipt of this notice, the director of consumer affairs and business regulation shall identify 
any relevant consumer reporting agency or state agency, as deemed appropriate by said director, 
and forward the names of the identified consumer reporting agencies and state agencies to the 
notifying person or agency. Such person or agency shall, as soon as practicable and without 
unreasonable delay, also provide notice, in accordance with this chapter, to the consumer reporting 
agencies and state agencies identified by the director of consumer affairs and business regulation.  
The notice to be provided to the resident shall include, but shall not be limited to: (i) the resident’s 
right to obtain a police report; (ii) how a resident may request a sec urity freeze and the necessary 
information to be provided when requesting the security freeze; (iii) that there shall be no charge 
for a security freeze; and (iv) mitigation services to be provided pursuant to this chapter; provided, 
however, that said not ice shall not include the nature of the breach of security or unauthorized 
acquisition or use, or the number of residents of the commonwealth affected by said breach of 
security or unauthorized access or use. The person or agency that experienced the breac h of 
security shall provide a sample copy of the notice it sent to consumers to the attorney general and 
the office of consumer affairs and business regulation. A notice provided pursuant to this section 
shall not be delayed on grounds that the total numbe r of residents affected is not yet ascertained. In 
such case, and where otherwise necessary to update or correct the information required, a person 
or agency shall provide additional notice as soon as practicable and without unreasonable delay 
upon learnin g such additional information.  
(c)  As practicable and as not to impede active investigation by the attorney general or other law 
enforcement agency, the office of consumer affairs and business regulation shall: (i) make 
available electronic copies of the  sample notice sent to consumers on its website and post such 
notice within 1 business day upon receipt from the person that experienced a breach of security; 
(ii) update the breach of security notification report on its website as soon as practically poss ible 
after the information has been verified by said office but not more than 10 business days after 
receipt unless the information provided is not verifiable; provided, however, that the office shall 
post said notice as soon as verified; (iii) amend, on a  recurring basis, the breach of security 
notification report to include new information discovered through the investigation process or new 
subsequent findings from a previously reported breach of security; and (iv) instruct consumers on 
how they may file a public records request to obtain a copy of the notice provided to the attorney 
general and said director from the person who experienced a breach of security.  
(d)  If the person or agency that experienced a breach of security is owned by another person or 
corporation, the notice to the consumer shall include the name of the parent or affiliated 
corporation.  
(e)  If an agency is within the executive department, it shall provide written notification of the 
nature and circumstances of the breach of securit y or unauthorized acquisition or use to the 
executive office of technology services and security and the division of public records in the office 
of the state secretary as soon as practicable and without unreasonable delay following the 
discovery of a brea ch of security or unauthorized acquisition or use, and shall comply with all 
policies and procedures adopted by the executive office of technology services and security 
pertaining to the reporting and investigation of such an incident."
9,,"Page 2 of 2 
ALM GL ch. 93H, § 1  
 Trayce Hockstad   Massachusetts residents to be notified exceeds 500,000 residents, or that the person or agency 
does not have sufficient contact information to provide notice.  
“Person”, a natural person, c orporation, association, partnership or other legal entity.  
“Personal information” a resident’s first name and last name or first initial and last name in 
combination with any 1 or more of the following data elements that relate to such resident:  
(a)  Social Security number;  
(b)  driver’s license number or state -issued identification card number; or  
(c)  financial account number, or credit or debit card number, with or without any required security 
code, access code, personal identification number or passwo rd, that would permit access to a 
resident’s financial account; provided, however, that “Personal information” shall not include 
information that is lawfully obtained from publicly available information, or from federal, state or 
local government records l awfully made available to the general public.  
“Substitute notice”, shall consist of all of the following: — 
(i)  electronic mail notice, if the person or agency has electronic mail addresses for the 
members of the affected class of Massachusetts residents;  
(ii)  clear and conspicuous posting of the notice on the home page of the person or agency if 
the person or agency maintains a website; and  
(iii)  publication in or broadcast through media or medium that provides notice throughout the 
commonwealth.  
(b)  The department of consumer affairs and business regulation may adopt regulations, from time 
to time, to revise the definition of “encrypted”, as used in this chapter, to reflect applicable 
technological advancements.  
History   
 
2007, 82, § 16.  
 
Annotated Laws of Massachusetts  
Copyright © 2024 Matthew Bender & Company, Inc.,  
a member of the LexisNexis Group All rights reserved.  
 
 
End of Document"
