,question,chunks
0,Are there any regional patterns or clusters of states with similar cybersecurity regulatory frameworks or approaches?,"Page 1 of 2 
ORC Ann. 1354.03  
    
ORC Ann. 1354.03  
Current through File 21 of the 135th General Assembly (2023 -2024).  
 
Page’s Ohio Revised Code Annotated   >  Title 13: Commercial Transactions — Other Commercial Transactions 
(Chs. 1301 — 1355)   >  Chapter 1354: Safe Harbor for Cybersecurity Programs  (§§ 1354.01 — 1354.05)  
 
§ 1354.03 Reasonably confirms to industry standard.   
 
A covered entity’s cybersecurity program, as described in section 1354.02 of the Revised Code, 
reasonably conforms to an industry recognized cybersecurity framework for purposes of that 
section if division (A), (B), or (C) of this section is satisfied.  
(A)   
(1)  The cyberse curity program reasonably conforms to the current version of any of the 
following or any combination of the following, subject to divisions (A)(2) and (D) of this 
section:  
(a)  The “framework for improving critical infrastructure cybersecurity” developed b y 
the “national institute of standards and technology” (NIST);  
(b)  “NIST special publication 800 -171”;  
(c)  “NIST special publications 800 -53 and 800 -53a”;  
(d)  The “federal risk and authorization management program (FedRAMP) security 
assessment framework ”; 
(e)  The “center for internet security critical security controls for effective cyber 
defense”;  
(f)  The “international organization for standardization/international electrotechnical 
commission 27000 family - information security management systems.”  
(2)  When a final revision to a framework listed in division (A)(1) of this section is 
published, a covered entity whose cybersecurity program reasonably conforms to that 
framework shall reasonably conform to the revised framework not later than one year a fter 
the publication date stated in the revision.  
(B)   
(1)  The covered entity is regulated by the state, by the federal government, or both, or is 
otherwise subject to the requirements of any of the laws or regulations listed below, and the 
cybersecurity  program reasonably conforms to the entirety of the current version of any of 
the following, subject to division (B)(2) of this section:"
1,,"Page 4 of 5 
ORC Ann. 3965.02  
   (3)  Internal or external threats to information;  
(4)  The licensee’s own changing business arrangements, such as mergers and acquisitions, 
alliances and joint ventures, outsourcing arrangements, and changes to information systems.  
(H)   
(1)  As part of its information security program, each licensee shall establish a written incident 
response plan designed to promptly respond to, and recover from, any cybersecurity event that 
compromises the confidentiality, integrity, or availability of nonpublic information in its 
possession, the licensee’s information systems, or the continuing functionality of any aspect of 
the licensee’s business or opera tions.  
(2)  The incident response plan described in division (H) (1) of this section shall address all of 
the following areas:  
(a)  The internal process for responding to a cybersecurity event;  
(b)  The goals of the incident response plan;  
(c)  The definit ion of clear roles, responsibilities, and levels of decision -making authority;  
(d)  External and internal communications and information sharing;  
(e)  Identification of requirements for the remediation of any identified weaknesses in 
information systems an d associated controls;  
(f)  Documentation and reporting regarding cybersecurity events and related incident 
response activities;  
(g)  The evaluation and revision as necessary of the incident response plan following a 
cybersecurity event.  
(I)   
(1)  By the fifteenth day of February of each year, unless otherwise permitted to file on the first 
day of June in division (I)(2) of this section, each insurer domiciled in this state shall submit to 
the superintendent of insurance a written statement certifying that  the insurer is in compliance 
with the requirements set forth in this section. Each insurer shall maintain for examination by 
the department of insurance all records, schedules, and data supporting this certificate for a 
period of five years. To the extent  an insurer has identified areas, systems, or processes that 
require material improvement, updating, or redesign, the insurer shall document the 
identification and the remedial efforts planned and underway to address such areas, systems, or 
processes. Such  documentation must be available for inspection by the superintendent.  
(2)  Notwithstanding division (I)(1) of this section, an insurer domiciled in this state and 
licensed exclusively to conduct business in this state and no other state shall be permitted  to 
submit to the superintendent of insurance a written statement certifying that the insurer is in 
compliance with the requirements set forth in this section as part of the insurer’s corporate 
governance annual disclosure required by section 3901.073 of t he Revised Code.  
(J)  A licensee that meets the requirements of this chapter shall be deemed to have implemented a 
cybersecurity program that reasonably conforms to an industry -recognized cybersecurity 
framework for the purposes of Chapter 1354. of the Rev ised Code."
2,,"Page 2 of 2 
ORC Ann. 1354.03  
   (a)  The security requirements of the “Health Insurance Portability and Accountability 
Act of 1996,” as set forth in 45  CFR Part 164 Subpart C;  
(b)  Title V of the “Gramm -Leach -Bliley Act of 1999,” Public Law 106 -102, as 
amended;  
(c)  The “Federal Information Security Modernization Act of 2014,” Public Law 113 -
283; 
(d)  The “Health Information Technology for Economic and C linical Health Act,” as 
set forth in 45 CFR part 162.  
(2)  When a framework listed in division (B)(1) of this section is amended, a covered entity 
whose cybersecurity program reasonably conforms to that framework shall reasonably 
conform to the amended fra mework not later than one year after the effective date of the 
amended framework.  
(C)   
(1)  The cybersecurity program reasonably complies with both the current version of the 
“payment card industry (PCI) data security standard” and conforms to the current  version 
of another applicable industry recognized cybersecurity framework listed in division (A) of 
this section, subject to divisions (C)(2) and (D) of this section.  
(2)  When a final revision to the “PCI data security standard” is published, a covered entity 
whose cybersecurity program reasonably complies with that standard shall reasonably 
comply with the revised standard not later than one year after the publication date  stated in 
the revision.  
(D)  If a covered entity’s cybersecurity program reasonably conforms to a combination of 
industry recognized cybersecurity frameworks, or complies with a standard, as in the case of 
the payment card industry (PCI) data security sta ndard, as described in division (A) or (C) of 
this section, and two or more of those frameworks are revised, the covered entity whose 
cybersecurity program reasonably conforms to or complies with, as applicable, those 
frameworks shall reasonably conform to  or comply with, as applicable, all of the revised 
frameworks not later than one year after the latest publication date stated in the revisions.  
History   
 
2018 sb220, § 1, effective November 2, 2018.  
 
Page’s Ohio Revised Code Annotated  
Copyright © 2024 Al l rights reserved.  
 
 
End of Document"
3,,"Trayce Hockstad   
ALM GL ch. 40J, § 4H  
Current through Chapter 59 of the 2024 Legislative Session of the 193rd General Court  
 
Annotated Laws of Massachusetts   >  PART I ADMINISTRATION OF THE GOVERNMENT (Chs. 1 - 182)  >  
TITLE VII CITIES, TOWNS AND DISTRICTS (Chs. 39 - 49A)   >  TITLE VII CITIES, TOWNS AND 
DISTRICTS (Chs. 39 — 49A)   >  Chapter 40J Massa chusetts Technology Park Corporation (§§ 1 — 13) 
 
§ 4H. Massachusetts Cybersecurity Innovation Fund.   
 
(a)  In order to grow the cybersecurity industry cluster in the commonwealth and protect against 
cybersecurity  threats, there is hereby established and set up on the books of the corporation the 
Massachusetts Cybersecurity Innovation Fund, hereinafter referred to as the fund, to which shall 
be credited the proceeds of any bonds or notes of the commonwealth issued for the purpose, and 
any appropriations designated by the general court to be credited thereto. The fund shall be 
administered by the corporation. The corporation shall hold the fund in an account or accounts 
separate from other funds of the corporation. T he purpose of the fund shall be to: (i) support 
facilities, hardware and software used to develop or test cybersecurity solutions and enable the 
growth of innovative ideas to address cybersecurity threats; (ii) accelerate the growth of the 
cybersecurity cl uster and related clusters; (iii) expand employment opportunities and address talent 
pipeline needs in the cybersecurity industry and related industries for the residents of the 
commonwealth, including, but not limited to, women, minorities, veterans, and unemployed and 
underemployed individuals, through workforce training; (iv) match public and private universities 
with industry participants to develop cybersecurity technology and expand other relevant 
capabilities; (v) provide for the monitoring and detec tion of threat activity in order to investigate 
or mitigate cybersecurity incidents; and (vi) promote the development and implementation of 
educational programs within the commonwealth’s public schools, kindergarten to grade 12, 
inclusive, and public insti tutions of higher education through collaboration with Massachusetts 
Computing Attainment Network.  
[There is no subsection (b).]  
History   
 
2018, 228, § 11, effective August 3, 2018; 2021, 24, § 21, effective July 1, 2021.  
 
Annotated Laws of Massachusetts  
Copyright © 2024 All rights reserved.  
 
 
End of Document"
4,,"Trayce Hockstad   
ALM GL ch. 40J, § 6J  
Current through Chapter 59 of the 2024 Legislative Session of the 193rd General Court  
 
Annotated Laws of Massachusetts   >  PART I ADMINISTRATION OF THE GOVERNMENT (Chs. 1 - 182)  >  
TITLE VII CITIES, TOWNS AND DISTRICTS (Chs. 39 - 49A)   >  TITLE VII CITIES, TOWNS AND 
DISTRICTS (Chs. 39 — 49A)   >  Chapter 40J Massa chusetts Technology Park Corporation (§§ 1 — 13) 
 
§ 6J. Massachusetts Cybersecurity Center.   
 
(a)  There shall be established within the corporation a Massachusetts cybersecurity  center. The 
purpose of the center shall be to enhance the conditions for economic growth through outreach to 
the cybersecurity industry cluster in the commonwealth and to foster cybersecurity resiliency 
through communication, collaboration and outreach wi th state agencies, municipalities, 
educational institutions and private partners.  
(b)  The center shall carry out the purposes of the fund established in section 4H.  
(c)  The center shall be responsible for convening state and local officials and private sector 
participants to recommend actions needed to address the cybersecurity resiliency of the 
commonwealth. The center may also convene regional hubs for business developm ent to support 
cybersecurity entrepreneurs that are establishing innovative technologies to support resiliency.  
(d)  The center shall work in collaboration with private sector entities, educational institutions and 
state and local government to address cyb ersecurity issues, including, but not limited to: (i) 
improving the cybersecurity of organizations across the commonwealth, particularly 
municipalities, small businesses and non -profits, without access to affordable resources to defend 
against cybersecurit y threats and to maintain cyber resiliency; (ii) the shortage of trained workers 
available to meet the cybersecurity industry’s workforce demands, with a particular focus on 
increasing the diversity of the cybersecurity workforce; and (iii) the lack of aff ordable 
cybersecurity training for employees in all types of businesses.  
History   
 
2022, 268, § 44, effective November 10, 2022.  
 
Annotated Laws of Massachusetts  
Copyright © 2024 All rights reserved.  
 
 
End of Document"
5,,"Page 2 of 2 
HRS § 128B -1 
   (3)  Improving the State’s cybersecurity by using existing resources within the State;  
(4)  Examining spec ific requirements and actions to accelerate the growth of the cybersecurity 
industry in the State;  
(5)  Defining the requirements and opportunities to secure state, federal, and private moneys 
for cybersecurity activities and related educational programs;  
(6)  Forming partnerships to implement cyber resiliency structures and protocol to identify and 
share information about possible cyber -attacks and mitigate damage and recover quickly and 
efficiently from cyber -attacks; and  
(7)  Expanding the State’s cybers ecurity and cyber resiliency understanding and workforce 
through education.  
(e)  The coordinator may request the assistance of other departments, agencies, and private 
companies, both inside and outside of the State to carry out its duties.  
(f)  For the pu rposes of this section:  
“Coordinator” shall mean the Hawaii cybersecurity, economic, education, and infrastructure 
security coordinator.  
“Cyber resiliency” shall mean the ability to complete vulnerability assessments, identify 
potential cyber -attacks, miti gate losses from cyber -attacks, and recover quickly and efficiently 
from cyber -attacks.  
History   
 
L 2014, c 129, § 2, effective July 1, 2014; am L 2020, c 70, § 3, effective September 15, 2020; am L 2022, 
c 278, § 40, effective January 1, 2024.  
 
Michie's™  Hawaii Revised Statutes Annotated  
Copyright © 2024 All rights reserved.  
 
 
End of Document"
6,,"Page 1 of 2 
HRS § 128B -1 
    
HRS § 128B -1 
 This document is current through Act 2 of the 2024 Legislative Session. Subject to changes by Revisor 
pursuant to HRS 23G -15. 
 
Michie's™ Hawaii Revised Statutes Annotated   >  Division 1. Government (Titles 1 — 21)  >  Title 10 Public 
Safety and Internal S ecurity (Chs. 121 — 138)  >  Chapter 128B Cybersecurity (§ 128B -1) 
 
§ 128B -1. Cybersecurity, economic, education, and infrastructure security 
coordinator; powers and duties.   
 
(a)  There is established the full -time Hawaii cybersecurity , economic, education, and 
infrastructure security coordinator to oversee cybersecurity and cyber resiliency matters, including 
cybersecurity, economic, education, and infrastructure security for the State. The coordinator shall 
be placed within the depart ment of law enforcement.  
(b)  The coordinator shall be selected by the director of law enforcement based on the 
recommendations of the various agencies, departments, and private entities that will partner with 
the coordinator.  
(c)  The coordinator shall pa rtner with representatives from the following entities:  
(1)  The Hawaii state fusion center;  
(2)  The Hawaii state cyber resiliency center;  
(3)  Federal government agencies;  
(4)  State government agencies;  
(5)  The counties of the State;  
(6)  Institutions of higher education; and  
(7)  Other entities within the power, water, communications, transportation, and finance 
sectors, including public utilities, private telecommunications companies, airlines, financial 
institutions, and private information technolog y companies.  
(d)  Notwithstanding any law to the contrary, the coordinator, through its various partnerships, 
shall develop the requirements and methods for:  
(1)  Improving cyber resiliency within the State through the development of a structure that 
shall  include education, cybersecurity, and critical infrastructure protection;  
(2)  Improving the State’s critical infrastructure network and resiliency, including identifying 
interdependencies of critical infrastructures, points of connection between critical  
infrastructures, the most critical nodes, and the cascading effects of a cyber -attack on these 
points of connection between critical infrastructure;"
7,,"Page 3 of 4 
Wis. Stat. § 601.952  
   (e)  No less than annually, assess the effectiveness of security safeguards, including key 
controls, systems, and procedures.  
(f)  Include cybersecurity risks in the licensee’s enterprise risk management process.  
(g)  Utilize reasonable security measures when sharing information, taking into consideration 
the character of the sharing and the type of information shared.  
(h)  Provide personnel with cybersecurity awareness training that is updated as necessary.  
(4) Progr am adjustments.   The licensee shall monitor, evaluate, and adjust the information 
security program under sub. (1) consistent with changes in technology, the sensitivity of the 
nonpublic information, internal and external threats to nonpublic information, and changes to the 
licensee’s business operations, outsourcing arrangements, and information systems. If a licensee 
identifies areas, systems, or processes that require material improvement, updating, or redesign, 
the licensee shall document the identifica tion and remedial efforts to address the areas, systems, or 
processes. The licensee shall maintain the documentation for a period of at least 5 years starting 
from the date the documentation was created and shall produce the documentation upon demand of 
the commissioner.  
(5) Incident response plan.   As part of its information security program, a licensee shall develop 
an incident response plan to promptly respond to, and recover from, a cybersecurity event that 
compromises the confidentiality, integrity, o r availability of nonpublic information, the licensee’s 
information systems, or the continuing functionality of any aspect of the licensee’s business or 
operations. The incident response plan shall be in writing and address all of the following:  
(a)  The g oals of the incident response plan.  
(b)  The internal process for responding to a cybersecurity event.  
(c)  The identification of clear roles, responsibilities, and levels of decision -making authority 
during and immediately following a cybersecurity event.  
(d)  The external and internal communications and information sharing during and 
immediately following a cybersecurity event.  
(e)  Requirements for the remediation of identified weaknesses in the information systems and 
associated controls.  
(f)  The repor ting and documentation of a cybersecurity event and related incident response 
activities.  
(g)  The evaluation and revision of the incident response plan following a cybersecurity event.  
(6) Oversight of 3rd -party service provider arrangements.   If applica ble, no later than 2 years 
after the effective date of this subsection.... [LRB inserts date], a licensee shall exercise due 
diligence when selecting any 3rd -party service provider. The licensee shall make reasonable 
efforts to require a 3rd -party service provider to do all of the following:  
(a)  Implement appropriate administrative, technical, and physical measures to protect and 
secure the information systems and nonpublic information that are accessible to or held by the 
3rd-party service provider.  
(b)  Report a cybersecurity event under s. 601.954."
8,,"Page 2 of 2 
N.M. Stat. Ann. § 9 -27A-3 
   (6)  serve as a cybersecurity resource for local governments;  
(7)  develop a ser vice catalog of cybersecurity services to be offered to agencies and to 
political subdivisions of the state;  
(8)  collaborate with agencies in developing standards, functions and services in order to 
ensure the agency regulatory environments are understood  and considered as part of a 
cybersecurity incident response;  
(9)  establish core services to support minimum security standards and policies;  
(10)  establish minimum data classification policies and standards and design controls to 
support compliance with  classifications and report on exceptions;  
(11)  develop and issue cybersecurity awareness policies and training standards and develop 
and offer cybersecurity training services; and  
(12)  establish a centralized cybersecurity and data breach reporting proc ess for agencies and 
political subdivisions of the state.  
History   
 
2023, ch. 115, § 3, effective July 1, 2023.  
 
Michie’s ™ Annotated Statutes of New Mexico  
Copyright © 2024 All rights reserved.  
 
 
End of Document"
9,,"Page 3 of 3 
N.M. Stat. Ann. § 71 -11-1 
   (f)  physical security measures at key distribution substations;  
(g)  cybersecurity measures;  
(h)  energy storage systems and microgrids that support circuit -level grid stability, power 
quality, reliability or resiliency or provide temporary backup energy supply;  
(i)  electrical facilities and infrastructure necessary to support electric vehicle charging 
systems;  
(j)  new customer information platforms designed to provide improved customer access, 
greater service options and expanded access to  energy usage information; and  
(k)  other new technologies that may be developed regarding the electric grid.  
History   
 
2020, ch. 15, § 1, effective May 20, 2020.  
 
Michie’s ™ Annotated Statutes of New Mexico  
Copyright © 2024 All rights reserved.  
 
 
End of  Document"
