,question,chunks
0,Who is primarily liable in the event of a bridge destruction attack by hacking the entire system of an autonomous vehicle? Are there any laws or legislation defining this?,"Page 2 of 4 
ORC Ann. 3965.04  
   (d)  Whether any lost, stolen, or breached infor mation has been recovered and if so, how 
this was done;  
(e)  The identity of the source of the cybersecurity event;  
(f)  Whether the licensee has filed a police report or has notified any regulatory, 
government, or law enforcement agencies and, if so, when  such notification was provided;  
(g)  A description of the specific types of information acquired without authorization. 
“Specific types of information” means particular data elements, including types of medical 
information, types of financial information,  or types of information allowing identification 
of the consumer.  
(h)  The period during which the information system was compromised by the 
cybersecurity event;  
(i)  The number of total consumers in this state affected by the cybersecurity  event. The 
licensee shall provide the best estimate in the initial report to the superintendent and update 
this estimate with each subsequent report to the superintendent pursuant to this section.  
(j)  The results of any internal review identifying a laps e in either automated controls or 
internal procedures, or confirming that all automated controls or internal procedures were 
followed;  
(k)  A description of efforts being undertaken to remediate the situation that permitted the 
cybersecurity event to occur ; 
(l)  A copy of the licensee’s privacy policy and a statement outlining the steps the licensee 
will take to investigate and notify consumers affected by the cybersecurity event;  
(m)  The name of a contact person who is both familiar with the cybersecurity  event and 
authorized to act for the licensee.  
(2)  The licensee shall provide the information in electronic form as directed by the 
superintendent. The licensee shall have a continuing obligation to update and supplement 
initial and subsequent notificatio ns to the superintendent regarding material developments 
relating to the cybersecurity event.  
(C)  A licensee shall comply with section 1349.19 of the Revised Code as applicable and provide a 
copy of the notice sent to consumers under that section to the s uperintendent, when the licensee is 
required to notify the superintendent under division (A) of this section.  
(D)   
(1)  If a licensee becomes aware of a cybersecurity event in a system maintained by a third -
party service provider, the licensee shall treat  the event as it would under division (A) of this 
section.  
(2)  The computation of the licensee’s deadlines specified in this section shall begin on the day 
after the third -party service provider notifies the licensee of the cybersecurity event or the 
licensee otherwise has actual knowledge of the cybersecurity event, whichever is sooner.  
(3)  Nothing in this chapter shall prevent or abrogate an agreement between a licensee and 
another licensee, a third -party service provider, or any other party to fulfill any of the"
1,,"Page 2 of 2 
§ 1349.78 Intent of general assembly in enactment; uniform statewide policy.  
   (ii)  Actual damages.  
(2)  Any owner of debt subject to divisions (A), (B), and (C) of this section shall not be held 
civilly liable in any action, if all of the following are  met: 
(a)  The owner of the debt shows by a preponderance of evidence that the compliance 
failure was not intentional and resulted from a bona fide error notwithstanding the 
maintenance of procedures reasonably adapted to avoid any such error.  
(b)  Within sixty days after discovering the error, and prior to the initiation of any action, 
the owner of the debt notifies the debtor of the error and the manner in which the owner of 
the debt intends to make full restitution to the debtor.  
(c)  The owner of the de bt promptly makes reasonable restitution to the debtor.  
(3)  If, in the event of a compliance failure, the owner of the debt does not meet the conditions 
set forth in division (D)(2) of this section, a debtor injured by the error has a cause of action to 
recover damages. Such an action shall not, however, be maintai ned as a class action.  
History   
 
2018 hb489, § 1, effective March 20, 2019; 021 hb133, § 1, effective September 1, 2021; renumbered 
from § ORC Ann. 1349.72 by 2022 hb272, § 1, effective July 6, 2022.  
 
Page’s Ohio Revised Code Annotated  
Copyright © 2024 Al l rights reserved.  
 
 
End of Document"
2,,"Page 3 of 5 
§ 1349.19 Disclosure or notification of breach of security of computerized personal information system.  
   the name of the individual or by some identifying number , symbol, or other identifier assigned 
to the individual. “System” does not include any published directory, any reference material or 
newsletter, or any routine information that is maintained for the purpose of internal office 
administration of the person , if the use of the directory, material, newsletter, or information 
would not adversely affect an individual, and there has been no unauthorized external breach 
of the directory, material, newsletter, or information.  
(B)   
(1)  Any person that owns or lice nses computerized data that includes personal information 
shall disclose any breach of the security of the system, following its discovery or notification 
of the breach of the security of the system, to any resident of this state whose personal 
information  was, or reasonably is believed to have been, accessed and acquired by an 
unauthorized person if the access and acquisition by the unauthorized person causes or 
reasonably is believed will cause a material risk of identity theft or other fraud to the resid ent. 
The disclosure described in this division may be made pursuant to any provision of a contract 
entered into by the person with another person prior to the date the breach of the security of the 
system occurred if that contract does not conflict with an y provision of this section and does 
not waive any provision of this section. For purposes of this section, a resident of this state is 
an individual whose principal mailing address as reflected in the records of the person is in this 
state.  
(2)  The perso n shall make the disclosure described in division (B)(1) of this section in the 
most expedient time possible but not later than forty -five days following its discovery or 
notification of the breach in the security of the system, subject to the legitimate n eeds of law 
enforcement activities described in division (D) of this section and consistent with any 
measures necessary to determine the scope of the breach, including which residents’ personal 
information was accessed and acquired, and to restore the reas onable integrity of the data 
system.  
(C)  Any person that, on behalf of or at the direction of another person or on behalf of or at the 
direction of any governmental entity, is the custodian of or stores computerized data that includes 
personal information  shall notify that other person or governmental entity of any breach of the 
security of the system in an expeditious manner, if the personal information was, or reasonably is 
believed to have been, accessed and acquired by an unauthorized person and if the  access and 
acquisition by the unauthorized person causes or reasonably is believed will cause a material risk 
of identity theft or other fraud to a resident of this state.  
(D)  The person may delay the disclosure or notification required by division (B), (C), or (G) of 
this section if a law enforcement agency determines that the disclosure or notification will impede 
a criminal investigation or jeopardize homeland or national security, in which case, the person 
shall make the disclosure or notification aft er the law enforcement agency determines that 
disclosure or notification will not compromise the investigation or jeopardize homeland or national 
security.  
(E)  For purposes of this section, a person may disclose or make a notification by any of the 
follow ing methods:  
(1)  Written notice;"
3,,"Page 3 of 3 
§ 1349.55 Requirements governing non -recourse civil litigation advance contracts.  
   principal terms have been presented to the consumer in the consumer’s native language and 
acknowledged by the consumer, in writing. Principal terms shall include all items that must be 
disclosed by this section.  
(C)  If a disput e arises between the consumer and the company concerning the contract for a non -
recourse civil litigation advance, the responsibilities of the attorney representing the consumer in 
the civil action or claim shall be no greater than the attorney’s responsib ilities under the Ohio 
Rules of Professional Conduct.  
History   
 
152 v H 248, §  1, eff. 8 -27-08. 
 
Page’s Ohio Revised Code Annotated  
Copyright © 2024 All rights reserved.  
 
 
End of Document"
4,,"Page 4 of 5 
ORC Ann. 3965.02  
   (3)  Internal or external threats to information;  
(4)  The licensee’s own changing business arrangements, such as mergers and acquisitions, 
alliances and joint ventures, outsourcing arrangements, and changes to information systems.  
(H)   
(1)  As part of its information security program, each licensee shall establish a written incident 
response plan designed to promptly respond to, and recover from, any cybersecurity event that 
compromises the confidentiality, integrity, or availability of nonpublic information in its 
possession, the licensee’s information systems, or the continuing functionality of any aspect of 
the licensee’s business or opera tions.  
(2)  The incident response plan described in division (H) (1) of this section shall address all of 
the following areas:  
(a)  The internal process for responding to a cybersecurity event;  
(b)  The goals of the incident response plan;  
(c)  The definit ion of clear roles, responsibilities, and levels of decision -making authority;  
(d)  External and internal communications and information sharing;  
(e)  Identification of requirements for the remediation of any identified weaknesses in 
information systems an d associated controls;  
(f)  Documentation and reporting regarding cybersecurity events and related incident 
response activities;  
(g)  The evaluation and revision as necessary of the incident response plan following a 
cybersecurity event.  
(I)   
(1)  By the fifteenth day of February of each year, unless otherwise permitted to file on the first 
day of June in division (I)(2) of this section, each insurer domiciled in this state shall submit to 
the superintendent of insurance a written statement certifying that  the insurer is in compliance 
with the requirements set forth in this section. Each insurer shall maintain for examination by 
the department of insurance all records, schedules, and data supporting this certificate for a 
period of five years. To the extent  an insurer has identified areas, systems, or processes that 
require material improvement, updating, or redesign, the insurer shall document the 
identification and the remedial efforts planned and underway to address such areas, systems, or 
processes. Such  documentation must be available for inspection by the superintendent.  
(2)  Notwithstanding division (I)(1) of this section, an insurer domiciled in this state and 
licensed exclusively to conduct business in this state and no other state shall be permitted  to 
submit to the superintendent of insurance a written statement certifying that the insurer is in 
compliance with the requirements set forth in this section as part of the insurer’s corporate 
governance annual disclosure required by section 3901.073 of t he Revised Code.  
(J)  A licensee that meets the requirements of this chapter shall be deemed to have implemented a 
cybersecurity program that reasonably conforms to an industry -recognized cybersecurity 
framework for the purposes of Chapter 1354. of the Rev ised Code."
5,,"Trayce Hockstad   
ALM GL ch. 93H, § 3  
Current through Chapter 59 of the 2024 Legislative Session of  the 193rd General Court  
 
Annotated Laws of Massachusetts   >  PART I ADMINISTRATION OF THE GOVERNMENT (Chs. 1 - 182)  >  
TITLE XV REGULATION OF TRADE (Chs. 93 - 110H)   >  TITLE XV REGULATION OF TRADE (Chs. 93 
— 110H)   >  Chapter 93H Security Breaches (§§ 1  — 6) 
 
§ 3. Notice of Security Breach Required.   
 
(a)  A person or agency that maintains or stores, but does not own or license data that includes 
personal information about a resident of the commonwealth, shall provide notice, as soon as 
practicable and  without unreasonable delay, when such person or agency (1) knows or has reason 
to know of a breach of security or (2) when the person or agency knows or has reason to know that 
the personal information of such resident was acquired or used by an unauthori zed person or used 
for an unauthorized purpose, to the owner or licensor in accordance with this chapter. In addition 
to providing notice as provided herein, such person or agency shall cooperate with the owner or 
licensor of such information. Such coopera tion shall include, but not be limited to, informing the 
owner or licensor of the breach of security or unauthorized acquisition or use, the date or 
approximate date of such incident and the nature thereof, and any steps the person or agency has 
taken or p lans to take relating to the incident, except that such cooperation shall not be deemed to 
require the disclosure of confidential business information or trade secrets, or to provide notice to 
a resident that may have been affected by the breach of securit y or unauthorized acquisition or use.  
(b)  A person or agency that owns or licenses data that includes personal information about a 
resident of the commonwealth, shall provide notice, as soon as practicable and without 
unreasonable delay, when such person or agency (1) knows or has reason to know of a breach of 
security or (2) when the person or agency knows or has reason to know that the personal 
information of such resident was acquired or used by an unauthorized person or used for an 
unauthorized purpose , to the attorney general, the director of consumer affairs and business 
regulation and to such resident, in accordance with this chapter. The notice to be provided to the 
attorney general and said director, and consumer reporting agencies or state agencie s if any, shall 
include, but not be limited to: (i) the nature of the breach of security or unauthorized acquisition or 
use; (ii) the number of residents of the commonwealth affected by such incident at the time of 
notification; (iii) the name and address of the person or agency that experienced the breach of 
security; (iv) name and title of the person or agency reporting the breach of security, and their 
relationship to the person or agency that experienced the breach of security ; (v) the type of person 
or agency reporting the breach of security; (vi) the person responsible for the breach of security, if 
known; (vii) the type of personal information compromised, including, but not limited to, social 
security number, driver’s license number, financial accou nt number, credit or debit card number or 
other data; (viii) whether the person or agency maintains a written information security program; 
and (ix) any steps the person or agency has taken or plans to take relating to the incident, including 
updating the written information security program. A person who experienced a breach of security"
6,,"Page 2 of 2 
ALM GL ch. 93H, § 2  
 Trayce Hockstad   insure the security and confidentiality of customer information in a manner fully consis tent with 
industry standards; protect against anticipated threats or hazards to the security or integrity of such 
information; and protect against unauthorized access to or use of such information that could result 
in substantial harm or inconvenience to a ny resident of the commonwealth.  
History   
 
2007, 82, § 16.  
 
Annotated Laws of Massachusetts  
Copyright © 2024 Matthew Bender & Company, Inc.,  
a member of the LexisNexis Group All rights reserved.  
 
 
End of Document"
7,,"Trayce Hockstad   
ALM GL ch. 40J, § 6J  
Current through Chapter 59 of the 2024 Legislative Session of the 193rd General Court  
 
Annotated Laws of Massachusetts   >  PART I ADMINISTRATION OF THE GOVERNMENT (Chs. 1 - 182)  >  
TITLE VII CITIES, TOWNS AND DISTRICTS (Chs. 39 - 49A)   >  TITLE VII CITIES, TOWNS AND 
DISTRICTS (Chs. 39 — 49A)   >  Chapter 40J Massa chusetts Technology Park Corporation (§§ 1 — 13) 
 
§ 6J. Massachusetts Cybersecurity Center.   
 
(a)  There shall be established within the corporation a Massachusetts cybersecurity  center. The 
purpose of the center shall be to enhance the conditions for economic growth through outreach to 
the cybersecurity industry cluster in the commonwealth and to foster cybersecurity resiliency 
through communication, collaboration and outreach wi th state agencies, municipalities, 
educational institutions and private partners.  
(b)  The center shall carry out the purposes of the fund established in section 4H.  
(c)  The center shall be responsible for convening state and local officials and private sector 
participants to recommend actions needed to address the cybersecurity resiliency of the 
commonwealth. The center may also convene regional hubs for business developm ent to support 
cybersecurity entrepreneurs that are establishing innovative technologies to support resiliency.  
(d)  The center shall work in collaboration with private sector entities, educational institutions and 
state and local government to address cyb ersecurity issues, including, but not limited to: (i) 
improving the cybersecurity of organizations across the commonwealth, particularly 
municipalities, small businesses and non -profits, without access to affordable resources to defend 
against cybersecurit y threats and to maintain cyber resiliency; (ii) the shortage of trained workers 
available to meet the cybersecurity industry’s workforce demands, with a particular focus on 
increasing the diversity of the cybersecurity workforce; and (iii) the lack of aff ordable 
cybersecurity training for employees in all types of businesses.  
History   
 
2022, 268, § 44, effective November 10, 2022.  
 
Annotated Laws of Massachusetts  
Copyright © 2024 All rights reserved.  
 
 
End of Document"
8,,"Trayce Hockstad   
ALM GL ch. 93H, § 1  
Current through Chapter 59 of the 2024 Legislative Session of  the 193rd General Court  
 
Annotated Laws of Massachusetts   >  PART I ADMINISTRATION OF THE GOVERNMENT (Chs. 1 - 182)  >  
TITLE XV REGULATION OF TRADE (Chs. 93 - 110H)   >  TITLE XV REGULATION OF TRADE (Chs. 93 
— 110H)   >  Chapter 93H Security Breaches (§§ 1  — 6) 
 
§ 1. Definitions.   
 
(a)  As used in this chapter, the following words shall, unless the context clearly requires 
otherwise, have the following meanings: — 
“Agency”, any agency, executive office, department, board, commission, bureau, division or 
authority of the commonwealth, or any of its branches, or of any political subdivision thereof.  
“Breach of security”, the unauthorized acquisition or unauthorized use of unencrypted data or, 
encrypted electronic data and the confidential process or key tha t is capable of compromising the 
security, confidentiality, or integrity of personal information, maintained by a person or agency 
that creates a substantial risk of identity theft or fraud against a resident of the commonwealth. A 
good faith but unauthori zed acquisition of personal information by a person or agency, or 
employee or agent thereof, for the lawful purposes of such person or agency, is not a breach of 
security unless the personal information is used in an unauthorized manner or subject to furth er 
unauthorized disclosure.  
“Data” any material upon which written, drawn, spoken, visual, or electromagnetic information or 
images are recorded or preserved, regardless of physical form or characteristics.  
“Electronic”, relating to technology having electrical, digital, magnetic, wireless, optical, 
electromagnetic or similar capabilities.  
“Encrypted” transformation of data through the use of a 128 -bit or higher algorithmic process into 
a form in which there is a low probability of assigning meaning wi thout use of a confidential 
process or key, unless further defined by regulation of the department of consumer affairs and 
business regulation.  
“Notice” shall include: — 
(i)  written notice;  
(ii)  electronic notice, if notice provided is consistent with the  provisions regarding electronic 
records and signatures set forth in § 7001 (c) of Title 15 of the United States Code; and chapter 
110G; or  
(iii)  substitute notice, if the person or agency required to provide notice demonstrates that the 
cost of providing  written notice will exceed $250,000, or that the affected class of"
9,,"Trayce Hockstad   
ALM GL ch. 93H, § 5  
Current through Chapter 59 of the 2024 Legislative Session of  the 193rd General Court  
 
Annotated Laws of Massachusetts   >  PART I ADMINISTRATION OF THE GOVERNMENT (Chs. 1 - 182)  >  
TITLE XV REGULATION OF TRADE (Chs. 93 - 110H)   >  TITLE XV REGULATION OF TRADE (Chs. 93 
— 110H)   >  Chapter 93H Security Breaches (§§ 1  — 6) 
 
§ 5. Compliance with Other Laws.   
 
This chapter does not relieve a person or agency from the duty to comply with requirements of any 
applicable general or special law or federal law regarding the protection and privacy of personal 
information; provided however, a person who maintains proced ures for responding to a breach of 
security pursuant to federal laws, rules, regulations, guidance, or guidelines, is deemed to be in 
compliance with this chapter if the person notifies affected Massachusetts residents in accordance 
with the maintained or required procedures when a breach occurs; provided further that the person 
also notifies the attorney general and the director of the office of consumer affairs and business 
regulation of the breach as soon as practicable and without unreasonable delay fol lowing the 
breach. The notice to be provided to the attorney general and the director of the office of consumer 
affairs and business regulation shall consist of, but not be limited to, any steps the person or 
agency has taken or plans to take relating to t he breach pursuant to the applicable federal law, rule, 
regulation, guidance or guidelines; provided further that if said person or agency does not comply 
with applicable federal laws, rules, regulations, guidance or guidelines, then it shall be subject to  
the provisions of this chapter.  
History   
 
2007, 82, § 16.  
 
Annotated Laws of Massachusetts  
Copyright © 2024 All rights reserved.  
 
 
End of Document"
