,0,1,2,3,4,5,6,7,8,9,
0,0.257425743,0.208955224,0.1875,0.251851852,0.160714286,0.217391304,0.234375,0.208588957,0.211538462,0.27027027,0.22086111
1,0.404040404,0.650887574,0.382716049,0.445859873,0.315789474,0.27027027,0.402439024,0.233983287,0.288209607,0.486842105,0.388103767
2,0.578461538,0.493506494,0.519298246,0.565517241,0.74204947,0.600660066,0.618705036,0.587412587,0.58041958,0.547058824,0.583308908
3,0.114285714,0.103321033,0.12716763,0.14973262,0.129032258,0.106463878,0.145833333,0.097421203,0.102189781,0.128440367,0.120388782
4,0.234234234,0.206703911,0.192592593,0.207715134,0.228571429,0.204188482,0.277419355,0.169491525,0.251336898,0.215053763,0.218730732
5,0.260536398,0.145896657,0.301075269,0.283185841,0.175,0.168421053,0.197044335,0.168582375,0.208469055,0.164794007,0.207300499
6,0.247544204,0.239316239,0.271551724,0.265795207,0.302904564,0.201769912,0.315789474,0.234200743,0.252747253,0.286266925,0.261788625
7,0.240196078,0.237762238,0.322147651,0.300341297,0.311864407,0.248210024,0.308243728,0.175115207,0.240786241,0.197860963,0.258252783
8,0.244399185,0.242063492,0.257943925,0.246153846,0.241164241,0.213389121,0.228116711,0.210325048,0.232179226,0.221359223,0.233709402
9,0.370192308,0.287272727,0.396946565,0.394736842,0.307692308,0.282430213,0.270707071,0.371607516,0.3,0.367346939,0.334893249
