,question,chunks
0,What are the maximum penalties for failing to follow the data breach notification statutes in Ohio and Oklahoma?,"Trayce Hockstad   
24 Okl. St. § 163  
This document is current with emergency effective legislation through Chapter 300 of the Second Regular 
Session of the 59th Legislature (2024) with exceptions to Chapter 182.  
 
Oklahoma Statutes, Annotated by LexisNexis®   >  Title 24. Debtor and Creditor (Chs. 1 — 9)  >  Chapter 8. 
Credit Services Organiz ation Act (§§ 131 — 166)  >  Security Breach Notification Act (§§ 161 — 166) 
 
§ 163. Disclosure of Security Breach —Notice   
 
A.  An individual or entity that owns or licenses computerized data that includes personal 
information shall disclose any breach of  the security of the system following discovery or 
notification of the breach of the security of the system to any resident of this state whose 
unencrypted and unredacted personal information was or is reasonably believed to have been 
accessed and acquired  by an unauthorized person and that causes, or the individual or entity 
reasonably believes has caused or will cause, identity theft or other fraud to any resident of this 
state. Except as provided in subsection D of this section or in order to take any me asures necessary 
to determine the scope of the breach and to restore the reasonable integrity of the system, the 
disclosure shall be made without unreasonable delay.  
B.  An individual or entity must disclose the breach of the security of the system if encr ypted 
information is accessed and acquired in an unencrypted form or if the security breach involves a 
person with access to the encryption key and the individual or entity reasonably believes that such 
breach has caused or will cause identity theft or oth er fraud to any resident of this state.  
C.  An individual or entity that maintains computerized data that includes personal information 
that the individual or entity does not own or license shall notify the owner or licensee of the 
information of any breac h of the security of the system as soon as practicable following discovery, 
if the personal information was or if the entity reasonably believes was accessed and acquired by 
an unauthorized person.  
D.  Notice required by this section may be delayed if a law enforcement agency determines and 
advises the individual or entity that the notice will impede a criminal or civil investigation or 
homeland or national security. Notice required by this section must be made without unreasonable 
delay after the law enf orcement agency determines that notification will no longer impede the 
investigation or jeopardize national or homeland security.  
History   
 
Laws 2008, HB 2245, c. 86, § 3, eff. November 1, 2008.  
 
Oklahoma Statutes, Annotated by LexisNexis®  
Copyright © 20 24 All rights reserved."
1,,"Trayce Hockstad   
24 Okl. St. § 165  
This document is current with emergency effective legislation through Chapter 300 of the Second Regular 
Session of the 59th Legislature (2024) with exceptions to Chapter 182.  
 
Oklahoma Statutes, Annotated by LexisNexis®   >  Title 24. Debtor and Creditor (Chs. 1 — 9)  >  Chapter 8. 
Credit Services Organiz ation Act (§§ 131 — 166)  >  Security Breach Notification Act (§§ 161 — 166) 
 
§ 165. Enforcement —Authority to Bring Action   
 
A.  A violation of this act that results in injury or loss to residents of this state may be enforced by 
the Attorney General or a  district attorney in the same manner as an unlawful practice under the 
Oklahoma Consumer Protection Act.  
B.  Except as provided in subsection C of this section, the Attorney General or a district attorney 
shall have exclusive authority to bring action and  may obtain either actual damages for a violation 
of this act or a civil penalty not to exceed One Hundred Fifty Thousand Dollars ($150,000.00) per 
breach of the security of the system or series of breaches of a similar nature that are discovered in 
a sing le investigation.  
C.  A violation of this act by a state -chartered or state -licensed financial institution shall be 
enforceable exclusively by the primary state regulator of the financial institution.  
History   
 
Laws 2008, HB 2245, c. 86, § 5, eff. November 1, 2008.  
 
Oklahoma Statutes, Annotated by LexisNexis®  
Copyright © 2024 All rights reserved.  
 
 
End of Document"
2,,"Trayce Hockstad   
24 Okl. St. § 164  
This document is current with emergency effective legislation through Chapter 300 of the Second Regular 
Session of the 59th Legislature (2024) with exceptions to Chapter 182.  
 
Oklahoma Statutes, Annotated by LexisNexis®   >  Title 24. Debtor and Creditor (Chs. 1 — 9)  >  Chapter 8. 
Credit Services Organization Act (§§ 131 — 166)  >  Security Breach Notification Act (§§ 161 — 166) 
 
§ 164. Compliance   
 
A.  An entity that maintains its own notification procedures as part of an information privacy or 
security policy for the treatment of personal information and that are consistent with the timing 
requirements of this act shall be deemed to be in compliance with the notification requirements of 
this act if it notifies residents of this state in accordance with its procedures in the event of a 
breach of security of the system.  
B.   
1.  A financial institution that complies with the notification requirements prescribed by the 
Federal Interagency Guidance on Response Programs for Unauthorized Access to Customer 
Information and Customer Notice is deemed to be in compliance with the provisions of this 
act. 
2.  An entity that complies with the notification requirements or procedures pursuant to the 
rules, regulation, procedures, or guidelines established by the primary or functional federal 
regulator of the entity shall be deemed to be in complia nce with the provisions of this act.  
History   
 
Laws 2008, HB 2245, c. 86, § 4, eff. November 1, 2008.  
 
Oklahoma Statutes, Annotated by LexisNexis®  
Copyright © 2024 All rights reserved.  
 
 
End of Document"
3,,"Trayce Hockstad   
24 Okl. St. § 166  
This document is current with emergency effective legislation through Chapter 300 of the Second Regular 
Session of the 59th Legislature (2024) with exceptions to Chapter 182.  
 
Oklahoma Statutes, Annotated by LexisNexis®   >  Title 24. Debtor and Creditor (Chs. 1 — 9)  >  Chapter 8. 
Credit Services Organization Act (§§ 131 — 166)  >  Security Breach Notification Act (§§ 161 — 166) 
 
§ 166. Application of Act   
 
This act shall apply to the discovery or notification of a breach of the security of the system that 
occurs on or after November 1, 2008.  
History   
 
Laws 2008, HB 2245, c. 86, § 6, eff. November 1, 2008.  
 
Oklahoma Statutes, Annotated by LexisNexis®  
Copyright © 2024 All rights reserved.  
 
 
End of Document"
4,,"Page 2 of 2 
§ 163. Disclosure of Security Breach —Notice  
    
 
End of Document"
5,,"Trayce Hockstad   
ORC Ann. 1349.192  
Current through File 26 of the 135th General Assembly (2023 -2024).  
 
Page’s Ohio Revised Code Annotated   >  Title 13: Commercial Transactions — Other Commercial Transactions 
(Chs. 1301 — 1355)   >  Chapter 1349: Consumer Protection (§§ 1349 .01 — 1349.99)   >  Disclosure or 
Notification of Breach of Security of Personal Information System (§§ 1349.19 — 1349.192)  
 
§ 1349.192 Civil action by attorney general; penalties; liability for costs of 
investigation and action.   
 
(A)   
(1)  The attorney general shall have the exclusive authority to bring a civil action in a court of 
common pleas for appropriate relief under this section, including a temporary restraining order, 
preliminary or permanent injunction, and civil penalties, if it a ppears that a state agency or an 
agency of a political subdivision has failed or is failing to comply with section 1347.12 of the 
Revised Code or that a person has failed or is failing to comply with section 1349.19 of the 
Revised Code. Upon its finding th at a state agency or an agency of a political subdivision has 
failed to comply with section 1347.12 of the Revised Code or that a person has failed to 
comply with section 1349.19 of the Revised Code, the court shall impose a civil penalty upon 
the state ag ency, agency of a political subdivision, or person as follows:  
(a)  For each day that the state agency, agency of a political subdivision, or person has 
intentionally or recklessly failed to comply with the applicable section, subject to divisions 
(A)(1)(b ) and (c) of this section, a civil penalty of up to one thousand dollars for each day 
the agency or person fails to comply with the section;  
(b)  If the state agency, agency of a political subdivision, or person has intentionally or 
recklessly failed to co mply with the applicable section for more than sixty days, subject to 
division (A)(1)(c) of this section, a civil penalty in the amount specified in division 
(A)(1)(a) of this section for each day of the first sixty days that the agency or person fails 
to comply with the section and, for each day commencing with the sixty -first day that the 
state agency, agency of a political subdivision, or person has failed to comply with the 
section, a civil penalty of up to five thousand dollars for each such day the ag ency or 
person fails to comply with the section;  
(c)  If the state agency, agency of a political subdivision, or person has intentionally or 
recklessly failed to comply with the applicable section for more than ninety days, a civil 
penalty in the amount sp ecified in division (A)(1)(a) of this section for each day of the first 
sixty days that the agency or person fails to comply with the section, a civil penalty of up 
to five thousand dollars for each day commencing with the sixty -first day and continuing 
through the ninetieth day that the agency or person fails to comply with the section, and, 
for each day commencing with the ninety -first day that the state agency, agency of a"
6,,"Page 5 of 5 
§ 1349.19 Disclosure or notification of breach of security of computerized personal information system.  
   (G)  If a person discovers circumstances that require disclosure under this section to more than one 
thousand residents of this state involved in a single occurrence of a breach of the security of the 
system, the person shall notify, without unreasonable delay, all consumer reporting agencies that 
compile and maintain files on con sumers on a nationwide basis of the timing, distribution, and 
content of the disclosure given by the person to the residents of this state. In no case shall a person 
that is required to make a notification required by this division delay any disclosure or notification 
required by division (B) or (C) of this section in order to make the notification required by this 
division.  
(H)  Any waiver of this section is contrary to public policy and is void and unenforceable.  
(I)  The attorney general may conduct purs uant to sections 1349.191 and 1349.192 of the Revised 
Code an investigation and bring a civil action upon an alleged failure by a person to comply with 
the requirements of this section.  
History   
 
151 v H 104, §  1, eff. 2 -17-06; 151 v S 126, §  1, eff. 3 -30-07. 
 
Page’s Ohio Revised Code Annotated  
Copyright © 2024 All rights reserved.  
 
 
End of Document"
7,,"Page 4 of 5 
§ 1349.19 Disclosure or notification of breach of security of computerized personal information system.  
   (2)  Electronic notice, if the person’s primary method of communication with the resident to 
whom the disclosure must be made is by electronic means;  
(3)  Telephone notice;  
(4)  Substitute notice in accordance with this di vision, if the person required to disclose 
demonstrates that the person does not have sufficient contact information to provide notice in a 
manner described in division (E)(1), (2), or (3) of this section, or that the cost of providing 
disclosure or notice  to residents to whom disclosure or notification is required would exceed 
two hundred fifty thousand dollars, or that the affected class of subject residents to whom 
disclosure or notification is required exceeds five hundred thousand persons. Substitute n otice 
under this division shall consist of all of the following:  
(a)  Electronic mail notice if the person has an electronic mail address for the resident to 
whom the disclosure must be made;  
(b)  Conspicuous posting of the disclosure or notice on the pers on’s web site, if the person 
maintains one;  
(c)  Notification to major media outlets, to the extent that the cumulative total of the 
readership, viewing audience, or listening audience of all of the outlets so notified equals 
or exceeds seventy -five per cent of the population of this state.  
(5)  Substitute notice in accordance with this division, if the person required to disclose 
demonstrates that the person is a business entity with ten employees or fewer and that the cost 
of providing the disclosures o r notices to residents to whom disclosure or notification is 
required will exceed ten thousand dollars. Substitute notice under this division shall consist of 
all of the following:  
(a)  Notification by a paid advertisement in a local newspaper that is dist ributed in the 
geographic area in which the business entity is located, which advertisement shall be of 
sufficient size that it covers at least one -quarter of a page in the newspaper and shall be 
published in the newspaper at least once a week for three co nsecutive weeks;  
(b)  Conspicuous posting of the disclosure or notice on the business entity’s web site, if the 
entity maintains one;  
(c)  Notification to major media outlets in the geographic area in which the business entity 
is located.  
(F)   
(1)  A financial institution, trust company, or credit union or any affiliate of a financial 
institution, trust company, or credit union that is required by federal law, including, but not 
limited to, any federal statute, regulation, regulatory guidance, or oth er regulatory action, to 
notify its customers of an information security breach with respect to information about those 
customers and that is subject to examination by its functional government regulatory agency 
for compliance with the applicable federal l aw, is exempt from the requirements of this 
section.  
(2)  This section does not apply to any person or entity that is a covered entity as defined in 45 
C.F.R. 160.103, as amended."
8,,"Page 3 of 5 
§ 1349.19 Disclosure or notification of breach of security of computerized personal information system.  
   the name of the individual or by some identifying number , symbol, or other identifier assigned 
to the individual. “System” does not include any published directory, any reference material or 
newsletter, or any routine information that is maintained for the purpose of internal office 
administration of the person , if the use of the directory, material, newsletter, or information 
would not adversely affect an individual, and there has been no unauthorized external breach 
of the directory, material, newsletter, or information.  
(B)   
(1)  Any person that owns or lice nses computerized data that includes personal information 
shall disclose any breach of the security of the system, following its discovery or notification 
of the breach of the security of the system, to any resident of this state whose personal 
information  was, or reasonably is believed to have been, accessed and acquired by an 
unauthorized person if the access and acquisition by the unauthorized person causes or 
reasonably is believed will cause a material risk of identity theft or other fraud to the resid ent. 
The disclosure described in this division may be made pursuant to any provision of a contract 
entered into by the person with another person prior to the date the breach of the security of the 
system occurred if that contract does not conflict with an y provision of this section and does 
not waive any provision of this section. For purposes of this section, a resident of this state is 
an individual whose principal mailing address as reflected in the records of the person is in this 
state.  
(2)  The perso n shall make the disclosure described in division (B)(1) of this section in the 
most expedient time possible but not later than forty -five days following its discovery or 
notification of the breach in the security of the system, subject to the legitimate n eeds of law 
enforcement activities described in division (D) of this section and consistent with any 
measures necessary to determine the scope of the breach, including which residents’ personal 
information was accessed and acquired, and to restore the reas onable integrity of the data 
system.  
(C)  Any person that, on behalf of or at the direction of another person or on behalf of or at the 
direction of any governmental entity, is the custodian of or stores computerized data that includes 
personal information  shall notify that other person or governmental entity of any breach of the 
security of the system in an expeditious manner, if the personal information was, or reasonably is 
believed to have been, accessed and acquired by an unauthorized person and if the  access and 
acquisition by the unauthorized person causes or reasonably is believed will cause a material risk 
of identity theft or other fraud to a resident of this state.  
(D)  The person may delay the disclosure or notification required by division (B), (C), or (G) of 
this section if a law enforcement agency determines that the disclosure or notification will impede 
a criminal investigation or jeopardize homeland or national security, in which case, the person 
shall make the disclosure or notification aft er the law enforcement agency determines that 
disclosure or notification will not compromise the investigation or jeopardize homeland or national 
security.  
(E)  For purposes of this section, a person may disclose or make a notification by any of the 
follow ing methods:  
(1)  Written notice;"
9,,"Page 2 of 2 
§ 1349.192 Civil action by attorney general; penalties; liability for costs of investigation and action.  
   political subdivision, or person has failed to comply with the section, a civil pe nalty of up 
to ten thousand dollars for each such day the agency or person fails to comply with the 
section.  
(2)  Any civil penalty that is assessed under division (A)(1) of this section shall be deposited 
into the consumer protection enforcement fund crea ted by section 1345.51 of the Revised 
Code.  
(3)  In determining the appropriate civil penalty to assess under division (A)(1) of this section, 
the court shall consider all relevant factors, including the following:  
(a)  If the defendant in the civil action is a state agency, an agency of a political 
subdivision, or a person that is a business entity, whether or not the high managerial 
officer, agent, or employee of the agency or business entity having supervisory 
responsi bility for compliance with section 1347.12 or 1349.19 of the Revised Code, 
whichever is applicable, acted in bad faith in failing to comply with the section.  
(b)  If the defendant in the civil action is a person other than a business entity, whether or 
not the person acted in bad faith in failing to comply with section 1349.19 of the Revised 
Code.  
(B)  Any state agency or agency of a political subdivision that is found by the court to have failed 
to comply with section 1347.12 of the Revised Code or any per son that is found by the court to 
have failed to comply with section 1349.19 of the Revised Code shall be liable to the attorney 
general for the attorney general’s costs in conducting an investigation under section 1349.191 of 
the Revised Code and bringing  an action under this section.  
(C)  The rights and remedies that are provided under this section are in addition to any other rights 
or remedies that are provided by law.  
History   
 
151 v H 104, §  1, eff. 2 -17-06. 
 
Page’s Ohio Revised Code Annotated  
Copyri ght © 2024 All rights reserved.  
 
 
End of Document"
