,question,chunks
0,"When do you have to provide notice to affected individuals of a data breach in California, Utah, Florida, and Michigan?","Page 3 of 4 
MCLS § 445.72  
 Trayce Hockstad   (c)  Describe the security breach in general terms.  
(d)  Describe the type of personal information that is the subject of the unauthorized access or 
use. 
(e)  If applicable, generally describe what the agency or person providing the notice has done 
to protect data from further security breaches.  
(f)  Include a telephone number where a notice recipient may obtain assistance  or additional 
information.  
(g)  Remind notice recipients of the need to remain vigilant for incidents of fraud and identity 
theft.  
(7)  A person or agency may provide any notice required under this section pursuant to an 
agreement between that person or a gency and another person or agency, if the notice provided 
pursuant to the agreement does not conflict with any provision of this section.  
(8)  Except as provided in this subsection, after a person or agency provides a notice under this 
section, the person  or agency shall notify each consumer reporting agency that compiles and 
maintains files on consumers on a nationwide basis, as defined in 15 USC 1681a(p), of the security 
breach without unreasonable delay. A notification under this subsection shall includ e the number 
of notices that the person or agency provided to residents of this state and the timing of those 
notices. This subsection does not apply if either of the following is met:  
(a)  The person or agency is required under this section to provide not ice of a security breach 
to 1,000 or fewer residents of this state.  
(b)  The person or agency is subject to 15 USC 6801 to 6809.  
(9)  A financial institution that is subject to, and has notification procedures in place that are 
subject to examination by the financial institution’s appropriate regulator for compliance with, the 
interagency guidance on response programs for unauthorized access to customer information and 
customer notice prescribed by the board of governors of the federal reserve system and the other 
federal bank and thrift regulatory agencies, or similar guidance prescribed and adopted by the 
national credit union administration, and its affiliates, is considered to be in compliance with this 
section.  
(10)  A person or agency that is subject  to and complies with the health insurance portability and 
accountability act of 1996, Public Law 104 -191, and with regulations promulgated under that act, 
45 CFR parts 160 and 164, for the prevention of unauthorized access to customer information and 
customer notice is considered to be in compliance with this section.  
(11)  A public utility that sends monthly billing or account statements to the postal address of its 
customers may provide notice of a security breach to its customers in the manner described  in 
subsection (5), or alternatively by providing all of the following:  
(a)  As applicable, notice as described in subsection (5)(b).  
(b)  Notification to the media reasonably calculated to inform the customers of the public 
utility of the security breach.  
(c)  Conspicuous posting of the notice of the security breach on the website of the public 
utility."
1,,"Page 3 of 3 
MCLS § 500.559  
 Trayce Hockstad   consumers shall fulfill the consumer notification requirements imposed under this section. For a 
cybersecurity event involving nonpublic information that is in the possession, custody, or control 
of a third -party service provider of a licensee that is an a ssuming insurer, the assuming insurer 
shall notify its affected ceding insurers and the director of its state of domicile within 10 business 
days after receiving notice from its third -party service provider that a cybersecurity event has 
occurred. The cedi ng insurers that have a direct contractual relationship with affected consumers 
shall fulfill the consumer notification requirements imposed under this chapter.  
(6)  A licensee acting as an assuming insurer does not have other notice obligations relating t o a 
cybersecurity event or other data breach under this section or any other law of this state.  
(7)  For a cybersecurity event involving nonpublic information that is in the possession, custody, 
or control of a licensee that is an insurer or its third -party service provider for which a consumer 
accessed the insurer’s services through an independent insurance producer, and for which 
consumer notice is required under this chapter, the insurer shall notify the producers of record of 
all affected consumers of t he cybersecurity event not later than the time at which notice is 
provided to the affected consumers. The insurer is excused from this obligation for any producer 
who is not authorized by law or contract to sell, solicit, or negotiate on behalf of the insu rer, and in 
those instances in which the insurer does not have the current producer of record information for 
any individual consumer.  
History   
 
Pub Acts 2018, No. 690, effective January 20, 2021.  
 
Michigan Compiled Laws Service  
Copyright © 2024 All rights reserved.  
 
 
End of Document"
2,,"Page 2 of 5 
MCLS § 500.561  
 Trayce Hockstad   However, the licensee shall provide the notice required under this subsection without 
unreasonable delay after the licensee completes the mea sures necessary to determine the scope 
of the cybersecurity event and restore the reasonable integrity of the database.  
(b)  A law enforcement agency determines and advises the licensee that providing a notice will 
impede a criminal or civil investigation or jeopardize homeland or national security. However, 
the licensee shall provide the notice required under this section without unreasonable delay 
after the law enforcement agency determines that providing the notice will no longer impede 
the investigation  or jeopardize homeland or national security.  
(5)  A licensee shall provide any notice required under this section by providing 1 or more of the 
following to the recipient:  
(a)  Written notice sent to the recipient at the recipient’s postal address in the records of the 
licensee.  
(b)  Written notice sent electronically to the recipient if any of the following are met:  
(i)  The recipient has expressly consented to receive electronic notice.  
(ii)  The licensee has an existing business relationship with the re cipient that includes 
periodic electronic mail communications and based on those communications the licensee 
reasonably believes that it has the recipient’s current electronic mail address.  
(iii)  The licensee conducts its business primarily through intern et account transactions or 
on the internet.  
(c)  If not otherwise prohibited by state or federal law, notice given by telephone by an 
individual who represents the licensee if all of the following are met:  
(i)  The notice is not given in whole or in part b y use of a recorded message.  
(ii)  The recipient has expressly consented to receive notice by telephone, or if the recipient 
has not expressly consented to receive notice by telephone, the licensee also provides 
notice under subdivision (a) or (b) if the n otice by telephone does not result in a live 
conversation between the individual representing the licensee and the recipient within 3 
business days after the initial attempt to provide telephonic notice.  
(d)  Substitute notice, if the licensee demonstrates  that the cost of providing notice under 
subdivision (a), (b), or (c) will exceed $250,000.00 or that the licensee has to provide notice to 
more than 500,000 residents of this state. A licensee provides substitute notice under this 
subdivision by doing all  of the following:  
(i)  If the licensee has electronic mail addresses for any of the residents of this state who 
are entitled to receive the notice, providing electronic notice to those residents.  
(ii)  If the licensee maintains a website, conspicuously posting the notice on that website.  
(iii)  Notifying major statewide media. A notification under this subparagraph must include 
a telephone number or a website address that a person may use to obtain additional 
assistance and information.  
(6)  A notice und er this section must do all of the following:"
3,,"Page 3 of 5 
MCLS § 500.561  
 Trayce Hockstad   (a)  For a notice provided under subsection (5)(a) or (b), be written in a clear and conspicuous 
manner and contain the content required under subdivisions (c) to (g).  
(b)  For a notice provided under subsectio n (5)(c), clearly communicate the content required 
under subdivisions (c) to (g) to the recipient of the telephone call.  
(c)  Describe the cybersecurity event in general terms.  
(d)  Describe the type of personal information that is the subject of the unaut horized access or 
use. 
(e)  If applicable, generally describe what the licensee providing the notice has done to protect 
data from further security breaches.  
(f)  Include a telephone number where a notice recipient may obtain assistance or additional 
infor mation.  
(g)  Remind notice recipients of the need to remain vigilant for incidents of fraud and identity 
theft.  
(7)  A licensee may provide any notice required under this section under an agreement between the 
licensee and another licensee, if the notice p rovided under the agreement does not conflict with 
this section.  
(8)  Except as provided in this subsection, after a licensee provides a notice under this section, the 
licensee shall notify each consumer reporting agency that compiles and maintains files o n 
consumers on a nationwide basis, as defined in 15 USC 1681a(p), of the cybersecurity event 
without unreasonable delay. A notification under this subsection must include the number of 
notices that the licensee provided to residents of this state and the t iming of those notices. This 
subsection does not apply if either of the following is met:  
(a)  The licensee is required under this section to provide notice of a cybersecurity event to 
1,000 or fewer residents of this state.  
(b)  The licensee is subject to  15 USC 6801 to 6809.  
(9)  A licensee that is subject to and complies with the health insurance portability and 
accountability act of 1996, Public Law 104 -191, and with regulations promulgated under that act, 
45 CFR parts 160 and 164, for the prevention of  unauthorized access to customer information and 
customer notice is considered to be in compliance with this section.  
(10)  A person that provides notice of a cybersecurity event in the manner described in this section 
when a cybersecurity event has not oc curred, with the intent to defraud, is guilty of a misdemeanor 
punishable as follows:  
(a)  Except as otherwise provided under subdivisions (b) and (c), by imprisonment for not 
more than 93 days or a fine of not more than $250.00 for each violation, or both . 
(b)  For a second violation, by imprisonment for not more than 93 days or a fine of not more 
than $500.00 for each violation, or both.  
(c)  For a third or subsequent violation, by imprisonment for not more than 93 days or a fine of 
not more than $750.00 for each violation, or both."
4,,"Page 2 of 4 
MCLS § 445.72  
 Trayce Hockstad   However, the agency or person shall provide the notice required under this section without 
unreasonable delay after the law enforcement agency determines that providing the notice will 
no longer impede the investigation or jeopardize homeland or national security.  
(5)  Except as provided in subsection (11), an agency or person shall provide any no tice required 
under this section by providing 1 or more of the following to the recipient:  
(a)  Written notice sent to the recipient at the recipient’s postal address in the records of the 
agency or person.  
(b)  Written notice sent electronically to the re cipient if any of the following are met:  
(i)  The recipient has expressly consented to receive electronic notice.  
(ii)  The person or agency has an existing business relationship with the recipient that 
includes periodic electronic mail communications and based on those communications the 
person or agency reasonably believes that it has the recipient’s current electronic mail 
address.  
(iii)  The person or agency conducts its business primarily through internet account 
transactions or on the internet.  
(c)  If not otherwise prohibited by state or federal law, notice given by telephone by an 
individual who represents the person or agency if all of the following are met:  
(i)  The notice is not given in whole or in part by use of a recorded message.  
(ii)  The rec ipient has expressly consented to receive notice by telephone, or if the recipient 
has not expressly consented to receive notice by telephone, the person or agency also 
provides notice under subdivision (a) or (b) if the notice by telephone does not result  in a 
live conversation between the individual representing the person or agency and the 
recipient within 3 business days after the initial attempt to provide telephonic notice.  
(d)  Substitute notice, if the person or agency demonstrates that the cost of providing notice 
under subdivision (a), (b), or (c) will exceed $250,000.00 or that the person or agency has to 
provide notice to more than 500,000 residents of this state. A person or agency provides 
substitute notice under this subdivision by doing all o f the following:  
(i)  If the person or agency has electronic mail addresses for any of the residents of this 
state who are entitled to receive the notice, providing electronic notice to those residents.  
(ii)  If the person or agency maintains a website, conspicuously posting the notice on that 
website.  
(iii)  Notifying major statewide media. A notification under this subparagraph shall include 
a telephone number or a website address that a person may use to obtain additional 
assistance and information.  
(6)  A notice under this section shall do all of the following:  
(a)  For a notice provided under subsection (5)(a) or (b), be written in a clear and conspicuous 
manner and contain the content required under subdivisions (c) to (g).  
(b)  For a notice provided  under subsection (5)(c), clearly communicate the content required 
under subdivisions (c) to (g) to the recipient of the telephone call."
5,,"Page 23 of 120
§ 1798.130. Notice, Disclosure, Correction, and Deletion Requirements
Trayce Hockstad
prevails); Stats 2020 ch 172 § 1 (AB 713), effective September 25, 2020; Amendment approved by voters, 
Prop. 24 § 12 (2020 Bill Text CA V. 9), on November 3, 2020, effective December 16, 2020, operative 
January 1, 2023.
Deering’s California Codes Annotated 
Copyright © 2024 All rights reserved.
End of Document"
6,,"Trayce Hockstad
suffered as a result of the alleged violations of this title. If a business continues to violate this title in 
breach of the express written statement provided to the consumer under this section, the consumer 
may initiate an action against the business to enforce the written 
Page 2 of 2
§ 1798.150. Personal Information Security Breaches
statement and may pursue statutory damages for each breach of the express written statement, as 
well as any other violation of the title that postdates the written statement.
(c)The cause of action established by this section shall apply only to violations as defined in 
subdivision (a) and shall not be based on violations of any other section of this title. Nothing in this 
title shall be interpreted to serve as the basis for a private right of action under any other law. This 
shall not be construed to relieve any party from any duties or obligations imposed under other law or 
the United States or California Constitution.
History
Added Stats 2018 ch 55 § 3 (AB 375), effective January 1, 2019, operative January 1, 2020. Amended Stats 
2018 ch 735 § 11 (SB 1121), effective September 23, 2018, operative January 1, 2020; Stats 2019 ch 757 § 9 
(AB 1355), effective January 1, 2020, operative January 1, 2020; Amendment approved by voters, Prop. 24 
§ 16 (2020 Bill Text CA V. 9), on November 3, 2020, effective December 16, 2020, operative January 1, 
2023.
Deering’s California Codes Annotated 
Copyright © 2024 All rights reserved.
End of Document"
7,,"Page 21 of 120
§ 1798.130. Notice, Disclosure, Correction, and Deletion Requirements
Trayce Hockstad(iii)Provide the specific pieces of personal information obtained from the consumer in a 
format that is easily understandable to the average consumer, and to the extent technically 
feasible, in a structured, commonly used, machine-readable format that may also be 
transmitted to another entity at the consumer’s request without hindrance. “Specific 
pieces of information” do not include data generated to help ensure security and integrity 
or as prescribed by regulation. Personal information is not considered to have been 
disclosed by a business when a consumer instructs a business to transfer the consumer’s 
personal information from one business to another in the context of switching services.
(4)For purposes of subdivision (b) of Section 1798.115:
(A)Identify the consumer and associate the information provided by the consumer in the 
verifiable consumer request to any personal information previously collected by the 
business about the consumer.
(B)Identify by category or categories the personal information of the consumer that the 
business sold during the applicable period of time by reference to the enumerated category in 
subdivision (c) that most closely describes the personal information, and provide the 
categories of third parties to whom the consumer’s personal information was sold or shared 
during the applicable period of time by reference to the enumerated category or categories in 
subdivision (c) that most closely describes the personal information sold or shared. The 
business shall disclose the information in a list that is separate from a list generated for the 
purposes of subparagraph (C).
(C)Identify by category or categories the personal information of the consumer that the 
business disclosed for a business purpose during the applicable period of time by reference to 
the enumerated category or categories in subdivision (c) that most closely describes the 
personal information, and provide the categories of persons to whom the consumer’s 
personal information was disclosed for a business purpose during the applicable period of 
time by reference to the enumerated category or categories in subdivision (c) that most 
closely describes the personal information disclosed. The business shall disclose the 
information in a list that is separate from a list generated for the purposes of subparagraph 
(B).
(5)Disclose the following information in its online privacy policy or policies if the business 
has an online privacy policy or policies and in any California-specific description of 
consumers’ privacy rights, or if the business does not maintain those policies, on its internet 
website and update that information at least once every 12 months:
(A)A description of a consumer’s rights pursuant to Sections 1798.100, 1798.105, 
1798.110, 1798.115, and 1798.125 and two or more designated methods for submitting 
requests, except as provided in subparagraph (A) of paragraph (1) of subdivision (a).
(B)For purposes of subdivision (c) of Section 1798.110:
(i)A list of the categories of personal information it has collected about consumers in 
the preceding 12 months by reference to the enumerated category or categories in 
subdivision (c) that most closely describe the personal information collected.
(ii)The categories of sources from which consumers’ personal information is 
collected."
8,,"Page 43 of 120
§ 1798.145. Exemptions
Trayce Hockstad(iv)An inflatable personal floatation device approved under Section 160.076 of Title 46 
of the Code of Federal Regulations.
(h)Notwithstanding a business’s obligations to respond to and honor consumer rights requests 
pursuant to this title:
(1)A time period for a business to respond to a consumer for any verifiable consumer request 
may be extended by up to a total of 90 days where necessary, taking into account the complexity 
and number of the requests. The business shall inform the consumer of any such extension 
within 45 days of receipt of the request, together with the reasons for the delay.
(2)If the business does not take action on the request of the consumer, the business shall 
inform the consumer, without delay and at the latest within the time period permitted of 
response by this section, of the reasons for not taking action and any rights the consumer may 
have to appeal the decision to the business.
(3)If requests from a consumer are manifestly unfounded or excessive, in particular because of 
their repetitive character, a business may either charge a reasonable fee, taking into account the 
administrative costs of providing the information or communication or taking the action 
requested, or refuse to act on the request and notify the consumer of the reason for refusing the 
request. The business shall bear the burden of demonstrating that any verifiable consumer 
request is manifestly unfounded or excessive.
(i)  
(1)A business that discloses personal information to a service provider or contractor in 
compliance with this title shall not be liable under this title if the service provider or contractor 
receiving the personal information uses it in violation of the restrictions set forth in the title, 
provided that, at the time of disclosing the personal information, the business does not have 
actual knowledge, or reason to believe, that the service provider or contractor intends to commit 
such a violation. A service provider or contractor shall likewise not be liable under this title for 
the obligations of a business for which it provides services as set forth in this title provided that 
the service provider or contractor shall be liable for its own violations of this title.
(2)A business that discloses personal information of a consumer, with the exception of 
consumers who have exercised their right to opt out of the sale or sharing of their personal 
information, consumers who have limited the use or disclosure of their sensitive personal 
information, and minor consumers who have not opted in to the collection or sale of their 
personal information, to a third party pursuant to a written contract that requires the third party to 
provide the same level of protection of the consumer’s rights under this title as provided by the 
business shall not be liable under this title if the third party receiving the personal information 
uses it in violation of the restrictions set forth in this title provided that, at the time of disclosing 
the personal information, the business does not have actual knowledge, or reason to believe, that 
the third party intends to commit such a violation.
(j)This title shall not be construed to require a business, service provider, or contractor to:
(1)Reidentify or otherwise link information that, in the ordinary course of business, is not 
maintained in a manner that would be considered personal information.
(2)Retain any personal information about a consumer if, in the ordinary course of business, 
that information about the consumer would not be retained."
9,,"Page 22 of 120
§ 1798.130. Notice, Disclosure, Correction, and Deletion Requirements
Trayce Hockstad(iii)The business or commercial purpose for collecting, selling, or sharing consumers’ 
personal information.
(iv)The categories of third parties to whom the business discloses consumers’ 
personal information.
(C)For purposes of paragraphs (1) and (2) of subdivision (c) of Section 1798.115, two 
separate lists:
(i)A list of the categories of personal information it has sold or shared about consumers 
in the preceding 12 months by reference to the enumerated category or categories in 
subdivision (c) that most closely describe the personal information sold or shared, or if 
the business has not sold consumers’ personal information in the preceding 12 months, 
the business shall prominently disclose that fact in its privacy policy.
(ii)A list of the categories of personal information it has disclosed about consumers 
for a business purpose in the preceding 12 months by reference to the enumerated 
category in subdivision (c) that most closely describes the personal information 
disclosed, or if the business has not disclosed consumers’ personal information for a 
business purpose in the preceding 12 months, the business shall disclose that fact.
(6)Ensure that all individuals responsible for handling consumer inquiries about the business’ 
privacy practices or the business’ compliance with this title are informed of all requirements in 
Sections 1798.100, 1798.105, 1798.106, 1798.110, 1798.115, and 1798.125, and this section, and 
how to direct consumers to exercise their rights under those sections.
(7)Use any personal information collected from the consumer in connection with the business’ 
verification of the consumer’s request solely for the purposes of verification and shall not 
further disclose the personal information, retain it longer than necessary for purposes of 
verification, or use it for unrelated purposes.
(b)A business is not obligated to provide the information required by Sections 1798.110 and 
1798.115 to the same consumer more than twice in a 12-month period.
(c)The categories of personal information required to be disclosed pursuant to Sections 1798.110 
and 1798.115 shall follow the definitions of personal information and sensitive personal information 
in Section 1798.140 by describing the categories of personal information using the specific terms set 
forth in subparagraphs (A) to (K), inclusive, of paragraph (1) of subdivision (v) of Section 1798.140 
and by describing the categories of sensitive personal information using the specific terms set forth 
in paragraphs (1) to (9), inclusive, of subdivision (ae) of Section 1798.140.
History
Added Stats 2018 ch 55 § 3 (AB 375), effective January 1, 2019, operative January 1, 2020. Amended 
Stats 2018 ch 735 § 7 (SB 1121), effective September 23, 2018, operative January 1, 2020; Stats 2019 ch 
757 § 6 (AB 1355), effective January 1, 2020; Stats 2019 ch 759 § 1 (AB 1564), effective January 1, 2020; 
Stats 2019 ch 763 § 1.3 (AB 25), effective January 1, 2020, operative January 1, 2020 (ch 763"
